Application_ID,Customer_ID,Application_Date,Loan_Amount,Loan_Type,Channel,Status,Decision_Time_Hours
81,1116,2025-11-17,1782186,Personal,Branch,Approved,52
82,2145,2024-09-16,3412844,SME,Branch,Approved,48
83,896,2022-07-03,3844541,Personal,Online,Approved,59
84,1584,2024-07-02,2746661,Mortgage,Branch,Approved,27
85,2532,2023-12-06,2776154,SME,Online,Approved,32
86,2157,2025-12-06,1915689,Personal,Online,Approved,60
87,2992,2023-09-10,2623768,Personal,Branch,Approved,53
88,2368,2021-08-10,2901377,Mortgage,Branch,Approved,55
89,489,2022-08-24,321120,Personal,Branch,Approved,48
90,2524,2021-09-13,3415838,SME,Branch,Pending,56
91,2971,2022-02-06,2324013,SME,Branch,Approved,64
92,224,2024-07-17,4748937,Personal,Online,Rejected,43
93,1465,2022-10-06,3981610,Mortgage,Branch,Pending,50
94,1544,2025-01-31,1934865,SME,Branch,Approved,63
95,1432,2024-03-27,3768839,Mortgage,Branch,Approved,43
96,64,2023-02-07,986469,Mortgage,Online,Pending,45
97,2416,2023-01-14,4438281,SME,Branch,Rejected,62
98,2459,2023-10-15,1338155,Personal,Branch,Approved,60
99,1949,2021-06-12,3090139,Personal,Branch,Rejected,45
100,190,2025-02-21,1156058,SME,Branch,Rejected,34
101,800,2023-03-17,4697454,SME,Branch,Approved,58
102,1559,2025-11-13,203018,SME,Online,Approved,67
103,245,2025-01-05,1962334,SME,Branch,Rejected,63
104,7,2025-03-29,520431,SME,Online,Approved,54
105,2832,2023-10-04,769384,SME,Online,Approved,45
106,2320,2023-12-03,4183155,Mortgage,Online,Approved,70
107,1196,2025-10-20,1433986,Personal,Online,Approved,34
108,929,2023-04-28,1534467,Mortgage,Online,Rejected,49
109,786,2024-06-11,2906299,Personal,Online,Approved,39
110,314,2024-04-13,1880915,Mortgage,Branch,Approved,50
111,762,2023-02-08,3574506,Mortgage,Online,Approved,41
112,228,2022-02-15,1561121,Personal,Branch,Pending,53
113,2110,2024-09-12,1777003,SME,Online,Rejected,40
114,71,2021-09-20,2349009,Personal,Online,Pending,36
115,2122,2025-03-15,2096360,Personal,Online,Approved,48
116,2458,2021-10-27,2052317,SME,Branch,Rejected,58
117,1480,2023-09-16,1814849,Mortgage,Online,Pending,39
118,2008,2025-11-18,1008478,Personal,Online,Pending,46
119,1296,2022-10-27,4007911,Personal,Branch,Rejected,55
120,1630,2024-10-25,2591636,SME,Branch,Approved,79
121,2569,2025-01-13,2867544,SME,Online,Approved,57
122,1301,2024-03-07,602827,Mortgage,Branch,Rejected,44
123,1150,2025-01-02,3988914,Mortgage,Branch,Approved,49
124,2374,2022-10-02,4521245,Personal,Branch,Rejected,31
125,2967,2021-11-29,1524558,Personal,Branch,Rejected,48
126,595,2023-07-24,4706959,Personal,Online,Rejected,41
127,1076,2025-06-27,823556,Personal,Branch,Rejected,66
128,2553,2025-04-13,3669153,Mortgage,Online,Approved,12
129,77,2023-09-05,1036834,Mortgage,Online,Pending,50
130,1868,2023-05-04,4932716,Personal,Branch,Approved,59
131,2757,2025-05-14,325612,Mortgage,Online,Rejected,33
132,299,2021-07-20,4983590,Personal,Branch,Approved,43
133,2079,2024-02-19,3052837,SME,Branch,Rejected,52
134,2341,2024-12-23,207535,Personal,Online,Rejected,65
135,2903,2021-06-11,1172231,Personal,Branch,Approved,44
136,2204,2024-09-09,1805080,SME,Online,Approved,54
137,561,2024-04-02,2396893,SME,Branch,Approved,71
138,977,2021-06-26,709251,Personal,Online,Rejected,48
139,587,2021-12-17,1989785,Mortgage,Branch,Rejected,59
140,2928,2021-02-21,1292198,Personal,Branch,Approved,49
141,2358,2025-05-16,4800175,Mortgage,Branch,Pending,28
142,1523,2023-04-12,3651272,Mortgage,Online,Rejected,66
143,2565,2022-10-19,2651652,Mortgage,Online,Rejected,61
144,2326,2025-11-08,906575,Personal,Online,Approved,51
145,1763,2023-01-18,141713,Mortgage,Online,Rejected,61
146,721,2023-11-11,1536953,Mortgage,Branch,Approved,38
147,2856,2022-12-24,638908,SME,Online,Approved,50
148,1561,2024-03-22,1371028,SME,Branch,Approved,53
149,2842,2021-08-08,4933439,Personal,Branch,Approved,40
150,892,2023-07-29,2984509,Personal,Online,Approved,37
151,2578,2024-01-22,134187,Personal,Online,Approved,55
152,708,2024-03-27,1019284,Personal,Branch,Approved,37
153,2375,2021-04-24,2634867,SME,Branch,Approved,40
154,1229,2024-10-19,1735543,SME,Branch,Approved,62
155,520,2025-06-02,329652,Mortgage,Online,Approved,38
156,2717,2022-10-27,3513945,Personal,Online,Approved,39
157,461,2022-12-08,719165,Mortgage,Branch,Pending,54
158,1295,2022-07-30,1053487,SME,Branch,Approved,58
159,2245,2022-01-17,759012,SME,Online,Approved,55
160,2903,2023-11-11,1888734,Personal,Online,Approved,27
161,2159,2023-08-07,4445701,Mortgage,Branch,Rejected,48
162,988,2024-12-18,489288,Personal,Branch,Approved,18
163,1603,2021-08-17,2914073,SME,Online,Rejected,47
164,64,2022-09-30,4134331,SME,Online,Approved,48
165,1509,2021-01-13,172613,Personal,Branch,Approved,41
166,1182,2023-08-29,4964963,SME,Online,Rejected,24
167,1253,2021-06-01,729275,Mortgage,Online,Approved,65
168,291,2025-01-21,2068331,Personal,Online,Rejected,41
169,511,2023-07-13,2904716,Mortgage,Online,Approved,46
170,2976,2023-12-27,3396090,SME,Branch,Approved,57
171,1569,2024-02-13,1791043,SME,Online,Pending,61
172,539,2023-08-03,1538448,SME,Online,Approved,46
173,568,2024-12-07,3619073,Personal,Branch,Rejected,60
174,1861,2024-07-12,1205340,Mortgage,Online,Rejected,32
175,1098,2025-06-27,4637568,SME,Branch,Rejected,41
176,2539,2025-12-16,2950442,Personal,Branch,Rejected,20
177,1923,2024-01-15,2546804,Mortgage,Branch,Approved,72
178,1926,2022-07-21,2122130,Mortgage,Online,Approved,43
179,675,2023-05-18,2191271,Personal,Branch,Rejected,52
180,442,2021-01-01,2695173,SME,Branch,Approved,37
181,2322,2023-05-06,2263705,SME,Branch,Rejected,46
182,455,2021-07-15,4899259,Personal,Branch,Approved,71
183,2698,2025-12-11,4323334,SME,Branch,Approved,40
184,2815,2023-03-04,4995869,Personal,Online,Rejected,45
185,510,2024-11-26,118243,Personal,Online,Rejected,51
186,2967,2023-11-25,803365,Personal,Branch,Approved,35
187,1597,2025-06-12,4537774,Personal,Branch,Pending,52
188,2498,2021-11-16,4980539,SME,Online,Approved,42
189,651,2024-12-16,4942357,SME,Branch,Rejected,54
190,885,2021-09-22,2460532,Personal,Branch,Approved,42
191,2106,2025-02-26,1625245,Mortgage,Branch,Approved,58
192,2151,2024-03-30,2612071,SME,Online,Rejected,31
193,1966,2022-02-02,4044178,Mortgage,Online,Rejected,36
194,2530,2024-04-27,4999179,Personal,Branch,Approved,36
195,1328,2024-01-20,4057127,Personal,Online,Pending,59
196,1573,2025-05-25,4120392,SME,Branch,Rejected,57
197,1370,2022-05-14,197739,Mortgage,Branch,Approved,24
198,118,2021-12-31,582974,Personal,Branch,Approved,30
199,1872,2022-07-11,3325442,SME,Branch,Approved,64
200,2212,2021-11-20,2392262,Mortgage,Online,Approved,52
201,2807,2025-09-18,2609007,SME,Branch,Approved,52
202,1244,2021-10-02,896651,SME,Online,Approved,66
203,1447,2021-09-12,4767516,Mortgage,Online,Rejected,51
204,1625,2024-03-27,1952119,Mortgage,Online,Pending,31
205,2376,2022-11-25,1573603,SME,Branch,Approved,31
206,2633,2024-02-17,180882,SME,Online,Approved,42
207,1757,2025-08-02,1612447,Personal,Online,Approved,43
208,976,2021-01-31,4691838,Personal,Online,Approved,55
209,2429,2022-07-10,2406894,Personal,Online,Pending,53
210,2576,2022-06-25,1737791,Mortgage,Branch,Rejected,47
211,1256,2024-05-20,3460377,SME,Branch,Pending,64
212,2575,2025-12-11,3996998,SME,Online,Approved,43
213,1264,2025-01-28,4975370,Mortgage,Branch,Approved,48
214,1761,2022-08-28,2568020,Personal,Branch,Pending,41
215,1339,2022-03-10,4876194,SME,Online,Approved,74
216,336,2021-03-04,4437432,Personal,Online,Approved,47
217,854,2025-09-03,1115261,SME,Online,Approved,63
218,2246,2023-02-24,3686203,Mortgage,Branch,Approved,39
219,2570,2021-05-29,2677465,SME,Online,Rejected,31
220,558,2022-03-22,3679520,Mortgage,Branch,Approved,28
221,1814,2022-03-14,1685667,SME,Online,Rejected,42
222,2734,2021-11-21,2233916,Mortgage,Branch,Approved,55
223,2000,2022-02-04,4387424,Personal,Online,Rejected,50
224,48,2024-11-10,193391,Mortgage,Branch,Pending,33
225,875,2025-01-28,1325328,Mortgage,Branch,Rejected,46
226,2084,2023-02-17,1158595,Personal,Branch,Rejected,43
227,134,2025-10-22,2932376,SME,Branch,Approved,37
228,949,2025-04-18,3326966,Personal,Online,Rejected,33
229,742,2024-03-06,3199535,Personal,Online,Approved,38
230,1699,2022-04-16,4739885,Mortgage,Branch,Pending,47
231,1735,2025-10-02,4928082,Personal,Branch,Rejected,38
232,2712,2021-12-18,2938429,SME,Online,Rejected,46
233,2679,2021-05-31,3260941,Mortgage,Online,Approved,72
234,1409,2025-01-19,3715501,Mortgage,Online,Approved,44
235,837,2024-06-15,4809042,Personal,Branch,Approved,53
236,117,2024-05-15,4557952,SME,Online,Rejected,33
237,1700,2025-05-30,1027976,SME,Branch,Rejected,50
238,1926,2022-01-14,4425168,Personal,Online,Approved,53
239,2224,2022-04-30,4525108,Personal,Online,Approved,41
240,1199,2024-06-21,2585146,SME,Branch,Approved,58
241,1923,2024-11-30,2441152,SME,Online,Approved,55
242,143,2024-07-29,3667269,Mortgage,Branch,Approved,61
243,202,2023-11-11,3244349,Mortgage,Online,Approved,44
244,1030,2024-11-01,1039057,Personal,Branch,Approved,38
245,2545,2024-08-22,480445,Personal,Online,Rejected,49
246,910,2025-06-05,2662114,SME,Branch,Rejected,56
247,2325,2025-05-27,787887,SME,Online,Rejected,48
248,1663,2025-09-01,4469781,Mortgage,Online,Pending,33
249,2242,2024-03-24,2838343,Mortgage,Online,Pending,31
250,457,2021-12-11,4793507,SME,Online,Rejected,48
251,2295,2023-03-23,3678902,Mortgage,Branch,Rejected,63
252,2740,2022-09-21,2927529,Mortgage,Online,Approved,29
253,2486,2023-05-31,1933185,SME,Branch,Rejected,34
254,2572,2022-07-16,2868696,Mortgage,Branch,Approved,28
255,1206,2025-12-05,2766601,Mortgage,Branch,Approved,53
256,2505,2025-12-10,1196158,Personal,Branch,Approved,23
257,1288,2024-06-16,3564060,Mortgage,Branch,Approved,48
258,2654,2025-08-01,2606332,SME,Branch,Rejected,49
259,2622,2024-07-14,2613736,Mortgage,Branch,Rejected,44
260,2316,2021-04-23,2555717,Personal,Branch,Approved,38
261,431,2024-08-08,4344348,Mortgage,Branch,Rejected,60
262,2788,2023-04-01,3065915,Mortgage,Branch,Approved,43
263,124,2021-03-27,3024101,SME,Branch,Approved,56
264,2006,2023-03-15,291750,Personal,Online,Approved,51
265,1070,2024-04-06,2912627,SME,Online,Rejected,57
266,703,2025-01-13,1107567,Personal,Branch,Rejected,62
267,397,2025-02-13,1686578,Mortgage,Branch,Pending,65
268,1041,2023-03-08,439126,SME,Branch,Rejected,43
269,1724,2022-04-27,4287398,Mortgage,Branch,Approved,37
270,471,2024-10-02,307932,Mortgage,Branch,Rejected,38
271,2597,2023-10-24,2503810,Mortgage,Online,Rejected,40
272,1834,2022-03-30,336192,SME,Branch,Approved,47
273,2358,2022-12-28,3779956,Personal,Branch,Approved,40
274,2543,2025-02-25,4452641,Mortgage,Online,Approved,49
275,2561,2021-05-10,3578511,Mortgage,Online,Rejected,64
276,2512,2021-05-21,4047775,Personal,Branch,Approved,45
277,173,2022-04-18,1754714,Personal,Online,Approved,67
278,2217,2023-09-16,2432229,Mortgage,Branch,Pending,53
279,2503,2022-12-15,2711401,Personal,Branch,Approved,62
280,2549,2023-01-09,1556036,SME,Branch,Approved,45
281,1402,2023-05-27,4244475,Personal,Branch,Approved,58
282,1829,2023-10-10,4379565,Personal,Branch,Rejected,44
283,810,2023-10-22,2528950,Personal,Branch,Rejected,53
284,1469,2025-05-04,4972818,Personal,Online,Rejected,36
285,2259,2022-07-19,3183211,Personal,Branch,Approved,42
286,1481,2023-06-20,3280035,SME,Online,Rejected,53
287,1848,2024-04-11,4185952,Mortgage,Online,Approved,19
288,2128,2025-05-21,3120346,Mortgage,Branch,Pending,45
289,1590,2025-01-09,4338160,Personal,Branch,Approved,35
290,2032,2023-09-03,2689626,Personal,Online,Approved,36
291,2720,2025-04-24,1557466,Personal,Branch,Approved,57
292,849,2023-08-21,561322,Personal,Branch,Approved,29
293,2102,2023-12-15,1042967,SME,Online,Approved,39
294,176,2022-07-20,4035377,SME,Online,Approved,43
295,531,2024-10-26,2497866,Personal,Online,Approved,64
296,1438,2022-01-06,4138072,Mortgage,Branch,Approved,38
297,71,2021-03-25,1724272,Personal,Online,Approved,46
298,1335,2023-05-09,1469993,Mortgage,Branch,Approved,41
299,1837,2022-07-16,3060191,Personal,Online,Approved,25
300,1892,2024-02-09,3280135,Mortgage,Branch,Rejected,30
301,2587,2022-08-20,3911336,SME,Online,Approved,63
302,579,2024-07-22,3554568,SME,Online,Rejected,45
303,164,2023-02-18,1963247,SME,Online,Rejected,57
304,340,2022-12-27,4922026,SME,Branch,Rejected,44
305,2688,2024-03-17,211414,Mortgage,Online,Rejected,44
306,2404,2023-08-02,2972623,Personal,Online,Approved,56
307,2503,2024-07-30,3582975,Personal,Branch,Approved,38
308,81,2021-03-28,100184,Mortgage,Branch,Approved,33
309,605,2022-05-30,3445850,SME,Branch,Rejected,35
310,1866,2021-09-19,2096349,Mortgage,Online,Rejected,57
311,2935,2024-07-15,3390302,SME,Online,Approved,57
312,2349,2024-02-09,943855,SME,Branch,Rejected,27
313,1471,2021-01-18,4872917,SME,Online,Pending,52
314,420,2025-05-09,4317047,Mortgage,Online,Approved,64
315,1668,2024-09-15,536211,Mortgage,Branch,Approved,51
316,219,2022-12-22,3604214,Mortgage,Branch,Pending,44
317,2030,2023-10-10,3635294,Mortgage,Online,Rejected,32
318,1771,2022-10-12,3534681,SME,Online,Approved,35
319,194,2024-02-01,1553672,SME,Branch,Pending,38
320,536,2025-01-24,2498507,SME,Online,Approved,36
321,2739,2024-08-14,1048941,SME,Online,Rejected,48
322,1248,2024-07-09,4354970,Personal,Online,Approved,53
323,1307,2021-02-23,1654777,SME,Branch,Approved,69
324,852,2025-10-11,2240050,SME,Branch,Approved,38
325,1652,2022-10-31,4115373,Personal,Branch,Approved,35
326,2333,2023-11-27,1140486,Personal,Branch,Approved,63
327,2789,2022-10-07,4054228,SME,Branch,Approved,56
328,924,2023-03-05,2740401,Personal,Online,Approved,51
329,1850,2024-06-30,3777020,SME,Online,Pending,43
330,4,2025-07-13,654868,SME,Branch,Rejected,42
331,1894,2025-08-19,4842828,Personal,Online,Approved,51
332,1317,2022-07-11,227845,SME,Branch,Approved,37
333,365,2022-08-31,2648120,Mortgage,Online,Rejected,34
334,1540,2024-10-17,3193337,SME,Branch,Approved,30
335,1106,2025-06-29,3388403,Mortgage,Online,Approved,60
336,333,2022-04-28,2103509,Personal,Online,Approved,58
337,2790,2021-06-15,868693,SME,Online,Approved,43
338,1283,2025-10-12,899129,Personal,Online,Rejected,38
339,2162,2021-08-08,4181883,Personal,Online,Pending,41
340,405,2022-05-07,788484,SME,Online,Rejected,68
341,752,2023-04-07,4668161,Mortgage,Online,Approved,43
342,1573,2021-11-24,1417765,Personal,Online,Approved,46
343,1056,2022-10-19,4405188,Mortgage,Online,Approved,26
344,85,2023-02-13,1407580,Mortgage,Branch,Approved,55
345,1071,2024-09-26,2154749,SME,Branch,Approved,68
346,131,2025-10-30,2227536,Mortgage,Online,Pending,54
347,2766,2024-01-30,136417,Personal,Branch,Approved,40
348,1070,2024-01-18,3583321,Personal,Online,Approved,60
349,1281,2024-10-07,4340956,Personal,Branch,Rejected,43
350,2626,2021-02-01,4687577,Personal,Branch,Approved,49
351,2002,2022-11-21,884118,Personal,Online,Rejected,54
352,239,2025-11-11,879558,SME,Online,Approved,43
353,2256,2023-05-18,2432433,SME,Branch,Approved,37
354,2303,2022-03-28,2619128,Mortgage,Branch,Approved,45
355,1875,2025-09-19,2437427,SME,Branch,Rejected,56
356,981,2022-01-16,3224027,Personal,Online,Pending,44
357,396,2025-11-12,4767423,SME,Branch,Approved,43
358,1465,2024-02-28,806757,Personal,Branch,Approved,40
359,2195,2025-10-06,2490785,Personal,Branch,Rejected,56
360,875,2025-04-06,336424,Mortgage,Online,Approved,23
361,2081,2021-03-10,4053231,Personal,Branch,Approved,47
362,160,2023-06-11,480457,Personal,Online,Rejected,34
363,758,2022-06-07,4838713,Mortgage,Online,Rejected,47
364,899,2024-03-13,2262790,Mortgage,Online,Rejected,52
365,1448,2021-04-29,2012768,Personal,Branch,Rejected,44
366,2611,2024-11-16,2533954,SME,Online,Approved,23
367,957,2021-11-14,4790676,SME,Branch,Approved,49
368,2783,2023-12-30,274847,Mortgage,Online,Approved,47
369,744,2021-10-03,4929440,Mortgage,Branch,Pending,67
370,408,2024-07-16,1441084,Mortgage,Branch,Approved,43
371,1323,2024-03-28,1245318,Personal,Branch,Approved,53
372,1731,2022-07-24,1804910,Personal,Online,Approved,47
373,576,2025-08-21,1652906,Personal,Branch,Rejected,48
374,2130,2022-06-08,2340515,Mortgage,Branch,Approved,52
375,1285,2024-03-03,4527724,Mortgage,Online,Approved,50
376,1167,2024-10-01,4394282,Personal,Branch,Rejected,31
377,1691,2024-06-23,804825,SME,Online,Rejected,25
378,2746,2025-03-29,4088485,Personal,Branch,Rejected,52
379,1609,2021-01-12,3024117,SME,Branch,Approved,52
380,1288,2023-06-25,4784078,Personal,Branch,Rejected,56
381,2173,2024-07-17,1310340,SME,Branch,Pending,55
382,1025,2021-11-27,3865824,Mortgage,Branch,Approved,51
383,768,2022-01-26,4811233,SME,Branch,Approved,60
384,124,2021-02-26,2650565,Personal,Branch,Approved,34
385,1367,2025-07-26,1647439,SME,Branch,Rejected,43
386,2048,2022-06-20,3556341,Personal,Online,Approved,59
387,730,2024-05-19,3592889,Mortgage,Online,Approved,43
388,1521,2025-04-23,4259334,SME,Online,Rejected,51
389,2046,2023-07-11,1318851,Mortgage,Branch,Approved,48
390,509,2024-10-08,3389301,Mortgage,Branch,Approved,68
391,563,2023-02-04,4654796,Personal,Branch,Approved,36
392,594,2024-11-25,737173,SME,Online,Approved,26
393,43,2023-04-21,2409842,Mortgage,Branch,Approved,65
394,1136,2025-06-27,4154613,SME,Branch,Approved,60
395,616,2022-11-08,4808985,SME,Branch,Approved,51
396,2278,2024-01-31,3108889,Mortgage,Branch,Approved,49
397,2008,2022-04-07,1085452,Mortgage,Branch,Rejected,51
398,870,2023-02-09,856391,SME,Online,Rejected,54
399,331,2022-08-10,3446885,SME,Online,Approved,54
400,1233,2025-07-26,870602,SME,Online,Rejected,41
401,2535,2021-06-28,1594237,SME,Branch,Rejected,29
402,2455,2025-03-06,4012495,Personal,Branch,Rejected,34
403,569,2024-05-23,601670,SME,Online,Pending,48
404,1459,2024-02-19,1081041,Personal,Branch,Approved,31
405,2148,2024-09-09,1889575,Personal,Online,Pending,39
406,149,2022-02-10,1065624,SME,Branch,Approved,40
407,2495,2023-07-07,4064847,Personal,Branch,Rejected,40
408,2369,2022-12-20,3883235,Personal,Branch,Approved,63
409,1863,2022-01-05,1866963,SME,Online,Approved,47
410,992,2021-06-12,203376,Personal,Online,Approved,45
411,2718,2025-01-31,2472009,Mortgage,Online,Approved,59
412,113,2023-11-20,663723,Personal,Online,Approved,42
413,1195,2024-02-28,3815828,SME,Branch,Rejected,42
414,2888,2024-12-29,1434717,SME,Online,Approved,29
415,95,2024-06-02,4733128,Mortgage,Online,Approved,55
416,180,2023-04-14,2713059,Mortgage,Branch,Approved,77
417,202,2025-02-07,340681,SME,Online,Approved,34
418,694,2025-09-16,1186707,Mortgage,Online,Approved,52
419,1622,2024-04-12,3561075,Mortgage,Branch,Approved,32
420,1011,2025-11-03,199345,SME,Online,Approved,35
421,1679,2025-03-29,2863449,SME,Online,Rejected,52
422,1831,2023-11-17,312991,Mortgage,Branch,Approved,65
423,2175,2025-12-03,4207248,SME,Branch,Approved,62
424,2895,2024-02-12,747899,SME,Branch,Approved,49
425,970,2025-09-02,3949621,Mortgage,Online,Rejected,36
426,1994,2021-07-21,3865849,SME,Branch,Rejected,67
427,1724,2021-07-07,460197,SME,Online,Approved,60
428,55,2021-09-28,988767,Mortgage,Branch,Rejected,41
429,970,2025-04-02,4258817,Mortgage,Online,Rejected,40
430,2277,2025-11-30,1042439,Personal,Online,Approved,43
431,1255,2024-11-19,4502020,Personal,Online,Approved,64
432,1543,2023-01-14,3138406,Personal,Online,Approved,49
433,1779,2022-08-03,831586,Personal,Online,Approved,47
434,1132,2025-04-23,1203754,Personal,Online,Approved,59
435,1072,2023-05-09,2718979,Mortgage,Branch,Approved,54
436,2577,2022-03-02,4478652,SME,Branch,Rejected,49
437,584,2024-07-17,1913241,SME,Online,Rejected,60
438,2933,2021-06-22,1432883,SME,Online,Pending,36
439,167,2021-10-27,3796608,Mortgage,Branch,Approved,46
440,463,2024-12-25,3419431,SME,Online,Approved,30
441,1037,2022-07-21,921079,Mortgage,Branch,Rejected,49
442,438,2023-12-04,1999791,Mortgage,Online,Rejected,62
443,1403,2021-11-10,764990,Personal,Branch,Approved,61
444,2291,2025-08-21,3953611,Personal,Branch,Pending,54
445,847,2025-11-02,1893003,Personal,Online,Approved,66
446,798,2022-06-16,4615709,Personal,Branch,Approved,44
447,599,2024-07-08,1107921,SME,Online,Approved,43
448,933,2023-06-22,4690286,SME,Branch,Approved,34
449,508,2025-08-13,1184258,Personal,Online,Rejected,33
450,1963,2025-02-20,4061621,Personal,Branch,Pending,45
451,1008,2024-08-10,369024,Personal,Branch,Rejected,42
452,297,2022-03-31,3521101,Personal,Online,Approved,51
453,2599,2021-05-18,2070132,Mortgage,Branch,Rejected,60
454,695,2022-12-11,1805950,Mortgage,Online,Approved,43
455,1725,2021-02-05,3479796,Mortgage,Branch,Rejected,76
456,1939,2025-03-13,3286104,SME,Branch,Approved,53
457,1399,2025-05-18,1760383,SME,Branch,Approved,31
458,2599,2023-04-25,1717243,Mortgage,Online,Approved,43
459,2470,2025-06-12,2257536,Personal,Online,Approved,29
460,2128,2025-04-30,623743,SME,Branch,Approved,54
461,1621,2025-04-30,504982,Personal,Branch,Approved,47
462,1497,2022-01-11,3778288,Mortgage,Online,Rejected,59
463,1081,2024-09-07,2915952,SME,Online,Approved,64
464,4,2025-01-02,3417045,SME,Online,Rejected,43
465,1399,2025-06-16,4850569,SME,Branch,Rejected,60
466,1296,2021-02-24,4355820,SME,Online,Approved,51
467,1672,2023-01-16,1744230,Personal,Branch,Approved,33
468,1666,2021-05-10,3787817,Personal,Online,Rejected,55
469,1408,2025-11-06,1022640,Mortgage,Online,Rejected,48
