Customer_ID,Parish,Age,Employment_Status,Annual_Income,Risk_Profile,KYC_Status
119,Kingston,21,Employed,1490778,Low,Verified
120,St. Catherine,48,Self-Employed,4844064,Medium,Verified
121,St. Catherine,44,Unemployed,978157,Medium,Pending
122,Manchester,55,Unemployed,2553897,Medium,Pending
123,Clarendon,33,Unemployed,7434699,Medium,Verified
124,St. James,67,Employed,3150959,Medium,Verified
125,Kingston,54,Self-Employed,4628973,Low,Verified
126,Manchester,31,Unemployed,1411709,High,Pending
127,Clarendon,56,Employed,6759322,Low,Pending
128,Manchester,37,Unemployed,6836207,Low,Rejected
129,Clarendon,55,Unemployed,2029959,Medium,Verified
130,Clarendon,38,Unemployed,5739158,Low,Verified
131,St. James,60,Unemployed,4143867,High,Verified
132,Clarendon,42,Unemployed,7162473,Low,Verified
133,Manchester,44,Employed,4756092,High,Rejected
134,Clarendon,39,Self-Employed,3442800,High,Rejected
135,St. James,57,Self-Employed,7593850,High,Verified
136,St. James,59,Self-Employed,6657533,High,Verified
137,Manchester,41,Self-Employed,2458332,High,Verified
138,St. Catherine,28,Employed,5251441,Medium,Pending
139,St. Catherine,48,Employed,2149651,Low,Verified
140,Clarendon,25,Employed,6098703,Low,Verified
141,Kingston,37,Unemployed,5818768,Medium,Verified
142,Clarendon,57,Unemployed,1571279,High,Verified
143,Manchester,56,Unemployed,6061687,Medium,Rejected
144,Manchester,39,Self-Employed,4874999,High,Verified
145,Manchester,47,Unemployed,1463431,High,Verified
146,Manchester,54,Self-Employed,1377701,Low,Verified
147,Manchester,31,Unemployed,7772965,Low,Verified
148,St. James,65,Self-Employed,2388404,Low,Verified
149,St. Catherine,67,Unemployed,2605148,Low,Verified
150,Manchester,32,Unemployed,6113128,Medium,Verified
151,Kingston,41,Employed,1052515,High,Pending
152,Kingston,31,Unemployed,4692825,Medium,Verified
153,Kingston,59,Unemployed,6153374,Low,Verified
154,Kingston,48,Employed,3671083,Low,Verified
155,St. James,25,Self-Employed,1409723,Low,Verified
156,Kingston,37,Employed,5538379,Medium,Verified
157,Manchester,40,Employed,1083126,Low,Pending
158,Clarendon,61,Self-Employed,7342224,Low,Verified
159,Kingston,66,Unemployed,3444046,Low,Verified
160,St. James,32,Self-Employed,2776230,Low,Verified
161,St. James,26,Unemployed,4949161,High,Verified
162,Kingston,37,Unemployed,5767087,Low,Verified
163,Clarendon,39,Self-Employed,4179595,Low,Verified
164,Kingston,46,Employed,7203679,Low,Verified
165,St. James,68,Self-Employed,6614104,Low,Verified
166,St. Catherine,64,Unemployed,4563302,Medium,Verified
167,Manchester,64,Self-Employed,1726097,Medium,Verified
168,St. James,52,Self-Employed,2783438,Low,Verified
169,Kingston,26,Unemployed,5993951,Medium,Verified
170,Manchester,56,Employed,1183609,Low,Verified
171,Kingston,58,Self-Employed,3905003,Medium,Rejected
172,Kingston,31,Unemployed,2663082,Low,Verified
173,St. Catherine,53,Unemployed,3310963,Low,Verified
174,Manchester,44,Self-Employed,7659938,Medium,Verified
175,Manchester,43,Employed,2553313,High,Rejected
176,St. Catherine,35,Self-Employed,3186149,Medium,Rejected
177,St. James,47,Employed,4281591,Low,Verified
178,Kingston,31,Employed,3048885,Low,Verified
179,Clarendon,37,Employed,6566392,High,Rejected
180,Kingston,34,Employed,3603005,Low,Verified
181,Kingston,47,Self-Employed,7734468,Low,Verified
182,St. James,38,Unemployed,2086353,Low,Pending
183,Kingston,48,Unemployed,3064719,Low,Verified
184,St. Catherine,67,Unemployed,6056583,Low,Verified
185,St. Catherine,67,Unemployed,5964888,Low,Pending
186,Manchester,24,Unemployed,3845471,Low,Verified
187,Clarendon,27,Unemployed,3844221,High,Verified
188,Kingston,65,Self-Employed,4926553,Low,Verified
189,Kingston,55,Employed,5898227,Low,Verified
190,St. James,68,Unemployed,4004181,Medium,Verified
191,St. Catherine,29,Self-Employed,2461342,Medium,Verified
192,Clarendon,28,Unemployed,1619593,Low,Verified
193,Manchester,65,Unemployed,4132791,High,Pending
194,St. Catherine,37,Employed,3273592,Low,Verified
195,Manchester,37,Employed,7329867,High,Pending
196,St. James,69,Employed,6445812,Low,Pending
197,St. James,53,Unemployed,6018907,Low,Verified
198,Kingston,52,Unemployed,3716933,High,Verified
199,Clarendon,28,Unemployed,7662842,Medium,Pending
200,Manchester,39,Employed,7073672,Low,Verified
201,St. Catherine,58,Self-Employed,6373945,Low,Verified
202,St. James,23,Unemployed,5686202,Low,Verified
203,Kingston,25,Unemployed,5619164,Medium,Pending
204,Kingston,33,Unemployed,1816783,Low,Verified
205,Manchester,67,Self-Employed,4706997,Low,Verified
206,St. James,66,Unemployed,6312237,Low,Verified
207,Clarendon,51,Self-Employed,4070421,Medium,Pending
208,St. James,36,Unemployed,7266751,High,Verified
209,Manchester,52,Self-Employed,2726663,Medium,Verified
210,Manchester,42,Unemployed,1585786,Low,Verified
211,St. James,49,Employed,3227667,High,Verified
212,Manchester,42,Employed,6111154,Medium,Verified
213,St. James,63,Employed,4840013,High,Verified
214,St. Catherine,23,Employed,7357734,Low,Verified
215,St. James,30,Unemployed,6920740,Low,Rejected
216,St. James,62,Employed,1363889,Medium,Verified
217,Manchester,41,Self-Employed,6903201,Low,Verified
218,Manchester,36,Employed,1077834,Medium,Pending
219,Kingston,32,Employed,6306933,High,Verified
220,Kingston,22,Employed,6385056,High,Verified
221,St. Catherine,61,Unemployed,5530654,High,Pending
222,Kingston,44,Employed,5331834,Medium,Verified
223,St. James,55,Self-Employed,4694325,Low,Verified
224,Manchester,50,Employed,2538667,Low,Verified
225,Kingston,50,Employed,6179105,Low,Verified
226,Kingston,67,Employed,4087281,Medium,Verified
227,St. Catherine,55,Self-Employed,4044998,Low,Pending
228,St. Catherine,39,Employed,4798585,Low,Verified
229,St. James,28,Self-Employed,3616112,Medium,Verified
230,Manchester,46,Self-Employed,7700725,Medium,Verified
231,St. Catherine,69,Employed,5623062,High,Rejected
232,Kingston,60,Self-Employed,2532141,Medium,Rejected
233,Manchester,27,Unemployed,5083191,Medium,Verified
234,Manchester,50,Employed,1635544,Medium,Pending
235,Kingston,27,Employed,3039164,High,Pending
236,St. Catherine,23,Self-Employed,6888322,Medium,Verified
237,Kingston,21,Self-Employed,1086629,High,Verified
238,Manchester,56,Employed,7705043,High,Verified
239,Clarendon,45,Unemployed,7608993,High,Pending
240,Clarendon,57,Self-Employed,6934896,Low,Pending
241,St. James,21,Self-Employed,7485739,Low,Verified
242,Kingston,35,Unemployed,7898495,Low,Verified
243,Kingston,57,Unemployed,3137643,Low,Verified
244,St. James,33,Employed,2434461,Low,Pending
245,St. James,60,Unemployed,7349264,Low,Pending
246,St. James,28,Employed,4806714,Low,Verified
247,Manchester,25,Unemployed,2814601,Medium,Verified
248,Kingston,29,Self-Employed,2616418,Medium,Verified
249,Manchester,21,Employed,4747347,Low,Pending
250,St. James,56,Employed,5752575,Medium,Verified
251,Kingston,55,Employed,3687569,Medium,Verified
252,Manchester,22,Unemployed,2546988,Medium,Pending
253,Manchester,60,Self-Employed,5144939,High,Verified
254,St. James,43,Employed,5696986,Low,Pending
255,Kingston,29,Employed,1820346,Low,Verified
256,St. James,54,Employed,7808061,Low,Verified
257,Kingston,66,Employed,2686522,Low,Rejected
258,Clarendon,34,Self-Employed,6323632,Medium,Verified
259,St. Catherine,24,Unemployed,3919331,Low,Verified
260,St. Catherine,50,Self-Employed,4803487,Low,Verified
261,St. Catherine,51,Employed,7804041,Low,Verified
262,St. James,58,Self-Employed,5247077,Low,Verified
263,Clarendon,31,Employed,7370821,Medium,Pending
264,Kingston,55,Unemployed,1634938,Medium,Rejected
265,Manchester,28,Unemployed,1607400,Low,Pending
266,Kingston,23,Unemployed,5384125,Low,Verified
267,Manchester,34,Employed,7305134,Low,Pending
268,Kingston,33,Self-Employed,4366881,Low,Pending
269,Clarendon,65,Unemployed,7272036,High,Verified
270,Manchester,52,Employed,4731792,Low,Verified
271,St. James,54,Employed,5167207,Medium,Verified
272,Kingston,65,Self-Employed,4381877,High,Pending
273,Kingston,39,Unemployed,7531979,Low,Verified
274,Manchester,58,Employed,5097255,Low,Pending
275,St. James,36,Self-Employed,3791890,High,Verified
276,St. James,22,Unemployed,4949570,High,Rejected
277,Clarendon,60,Self-Employed,1105745,Low,Verified
278,St. James,37,Self-Employed,2579892,Medium,Verified
279,St. James,54,Employed,7163634,High,Verified
280,St. James,62,Employed,7307839,Low,Verified
281,St. Catherine,36,Employed,2008402,High,Pending
282,Clarendon,58,Self-Employed,7161349,Low,Rejected
283,Kingston,22,Employed,5343247,Medium,Verified
284,Manchester,22,Self-Employed,5507527,High,Verified
285,Kingston,46,Self-Employed,4780527,High,Verified
286,Clarendon,33,Employed,6318225,Low,Verified
287,Manchester,67,Unemployed,1720243,Low,Verified
288,Clarendon,51,Unemployed,4221103,Medium,Pending
289,St. James,54,Unemployed,4202410,Medium,Rejected
290,Manchester,59,Self-Employed,3136038,Medium,Verified
291,St. James,23,Self-Employed,7527167,High,Verified
292,Kingston,28,Self-Employed,7517296,High,Verified
293,Kingston,43,Employed,1990283,Low,Verified
294,Manchester,34,Self-Employed,6577132,Low,Verified
295,Manchester,47,Employed,1221001,Low,Verified
296,Clarendon,49,Employed,4696134,Medium,Verified
297,Clarendon,59,Unemployed,3635309,Medium,Verified
298,St. James,59,Unemployed,4678016,Medium,Verified
299,Manchester,21,Unemployed,812336,Low,Verified
300,Kingston,37,Employed,5858211,Low,Verified
301,Clarendon,61,Employed,2269204,Low,Pending
302,Clarendon,50,Employed,3758963,Medium,Pending
303,Kingston,33,Self-Employed,3991319,Low,Pending
304,Clarendon,41,Employed,5842486,Low,Verified
305,St. James,39,Unemployed,2725656,Low,Verified
306,Manchester,39,Unemployed,3779718,Medium,Verified
307,Kingston,45,Employed,5422974,Low,Verified
308,Manchester,42,Employed,4568553,High,Pending
309,Clarendon,51,Unemployed,5843408,Medium,Verified
310,Clarendon,37,Employed,1089372,Medium,Verified
311,Kingston,43,Unemployed,814429,Medium,Verified
312,St. James,52,Self-Employed,1932870,Low,Verified
313,St. Catherine,30,Unemployed,4946118,Low,Rejected
314,Kingston,30,Self-Employed,6226967,High,Verified
315,St. Catherine,56,Employed,1674506,Medium,Verified
316,St. Catherine,28,Employed,4276808,High,Verified
317,St. James,40,Self-Employed,4157707,Medium,Rejected
318,St. Catherine,52,Employed,1643810,Low,Verified
319,St. Catherine,34,Self-Employed,5031614,Low,Verified
320,St. James,48,Employed,7717571,Medium,Verified
321,St. Catherine,66,Unemployed,5194203,Low,Pending
322,St. Catherine,44,Employed,5422776,Low,Verified
323,St. Catherine,35,Unemployed,1007500,High,Verified
324,Kingston,42,Unemployed,5094166,Low,Pending
325,Kingston,50,Self-Employed,6014802,Low,Rejected
326,Kingston,24,Employed,7392489,High,Verified
327,St. James,33,Self-Employed,6356452,High,Pending
328,Clarendon,43,Employed,7464102,Low,Verified
329,St. Catherine,28,Unemployed,7521879,High,Pending
330,St. Catherine,38,Unemployed,7665999,High,Verified
331,St. James,32,Employed,5362272,Low,Verified
332,St. Catherine,51,Employed,5786145,Low,Pending
333,Kingston,34,Self-Employed,1891014,Low,Pending
334,Clarendon,54,Employed,5235786,Medium,Verified
335,Manchester,38,Employed,3662750,Low,Pending
336,St. Catherine,54,Employed,5779676,High,Verified
337,Kingston,31,Self-Employed,2861439,Medium,Pending
338,Manchester,61,Employed,7885757,Medium,Verified
339,Clarendon,32,Unemployed,7585932,High,Verified
340,Manchester,69,Self-Employed,5706526,High,Verified
341,Kingston,35,Self-Employed,3378305,Low,Verified
342,Manchester,51,Unemployed,2660966,Low,Verified
343,St. James,69,Unemployed,2055950,Medium,Verified
344,Manchester,49,Unemployed,6794570,Low,Verified
345,St. Catherine,46,Employed,4627233,Low,Pending
346,St. Catherine,38,Unemployed,5332070,Medium,Verified
347,St. James,52,Employed,2350531,High,Verified
348,Kingston,42,Self-Employed,4496458,Low,Verified
349,St. Catherine,58,Self-Employed,5076252,Medium,Verified
350,Clarendon,37,Unemployed,7346113,Low,Verified
351,St. Catherine,43,Employed,4233468,Medium,Verified
352,St. Catherine,44,Unemployed,6642959,Low,Verified
353,Kingston,28,Unemployed,2415270,High,Verified
354,Manchester,61,Employed,1889100,Low,Verified
355,St. Catherine,26,Unemployed,7245860,Medium,Verified
356,St. James,25,Self-Employed,3007312,Low,Pending
357,Manchester,64,Unemployed,6189716,Low,Verified
358,Clarendon,49,Employed,6725803,Low,Rejected
359,Kingston,48,Employed,5475195,Low,Verified
360,Clarendon,31,Self-Employed,6210322,Low,Pending
361,Manchester,21,Employed,1368933,Low,Verified
362,Manchester,63,Employed,1184903,Medium,Verified
363,Manchester,39,Self-Employed,4869604,Medium,Rejected
364,Clarendon,29,Unemployed,1581608,Low,Verified
365,Manchester,47,Self-Employed,6128381,Medium,Verified
366,Clarendon,54,Unemployed,1966026,Low,Verified
367,Manchester,64,Self-Employed,2568407,Medium,Rejected
368,St. James,24,Unemployed,6321980,Low,Verified
369,Manchester,56,Self-Employed,5925702,Medium,Verified
370,Clarendon,38,Unemployed,7070968,Low,Pending
371,St. Catherine,35,Self-Employed,2340710,High,Verified
372,Manchester,33,Unemployed,4146386,Low,Pending
373,St. Catherine,39,Self-Employed,6583877,Low,Verified
374,St. James,69,Employed,7828074,Low,Pending
375,Kingston,26,Unemployed,7472028,High,Verified
376,St. James,68,Self-Employed,4223082,Medium,Verified
377,Manchester,32,Unemployed,4912742,Medium,Verified
378,St. Catherine,57,Unemployed,7979969,High,Verified
379,St. Catherine,37,Self-Employed,7261202,High,Verified
380,Clarendon,43,Unemployed,2367043,Medium,Verified
381,St. Catherine,46,Self-Employed,5094329,Low,Verified
382,Clarendon,49,Employed,1999728,High,Verified
383,Kingston,53,Unemployed,2343992,Low,Verified
384,Manchester,47,Employed,3081636,Medium,Verified
385,Clarendon,45,Unemployed,2759484,Medium,Verified
386,Kingston,30,Unemployed,5184347,Medium,Verified
387,St. Catherine,67,Unemployed,7000093,Medium,Verified
388,St. Catherine,43,Self-Employed,3743430,Medium,Verified
389,Kingston,41,Employed,4011208,High,Rejected
390,St. Catherine,41,Unemployed,1567128,Low,Verified
391,Kingston,63,Self-Employed,5309408,Low,Verified
392,Clarendon,33,Unemployed,3131774,Medium,Verified
393,Clarendon,57,Self-Employed,1234368,High,Pending
394,Kingston,53,Unemployed,4366194,Low,Verified
395,Clarendon,44,Employed,2720773,Low,Pending
396,Clarendon,64,Employed,6877449,Low,Verified
397,Clarendon,31,Unemployed,3634523,Low,Pending
398,St. James,37,Self-Employed,1967498,High,Verified
399,Manchester,24,Unemployed,1316576,Medium,Verified
400,St. Catherine,67,Self-Employed,4591296,Medium,Verified
401,St. James,45,Unemployed,2288204,Medium,Rejected
402,Clarendon,50,Self-Employed,6348900,Medium,Pending
403,Kingston,29,Employed,7972435,Low,Verified
404,Clarendon,41,Unemployed,7820480,Low,Verified
405,Manchester,40,Employed,3733811,Low,Verified
406,Clarendon,39,Employed,4633538,Low,Verified
407,Kingston,39,Unemployed,6127313,Low,Verified
408,Manchester,32,Unemployed,2970856,Low,Verified
409,Clarendon,57,Self-Employed,1331149,Low,Pending
410,Manchester,62,Self-Employed,1038366,Low,Verified
411,St. Catherine,37,Employed,5318362,Medium,Verified
412,St. Catherine,57,Self-Employed,6106768,Low,Verified
413,Clarendon,68,Self-Employed,1665718,High,Rejected
414,Manchester,59,Unemployed,7677037,Low,Pending
415,Kingston,48,Self-Employed,5207900,Medium,Verified
416,Clarendon,61,Employed,868515,High,Rejected
417,St. Catherine,55,Self-Employed,1216740,High,Pending
418,St. Catherine,67,Employed,3166361,High,Verified
419,Clarendon,68,Unemployed,6207317,Low,Verified
420,Manchester,38,Employed,2693884,Low,Rejected
421,St. Catherine,34,Self-Employed,1741208,Low,Verified
422,Manchester,55,Unemployed,5183233,Low,Verified
423,St. Catherine,64,Self-Employed,4082422,Low,Verified
424,St. Catherine,61,Unemployed,3767381,High,Verified
425,St. James,27,Unemployed,3138692,Medium,Rejected
426,St. Catherine,61,Self-Employed,2860035,Medium,Verified
427,Kingston,33,Self-Employed,3914659,High,Verified
428,Clarendon,38,Unemployed,2464005,Medium,Pending
429,Clarendon,57,Unemployed,7048084,Medium,Verified
430,Manchester,33,Self-Employed,7337932,Medium,Verified
431,St. Catherine,56,Employed,6407414,Low,Rejected
432,Kingston,51,Self-Employed,2207576,Low,Verified
433,Manchester,22,Unemployed,6895513,High,Verified
434,St. James,36,Self-Employed,7517366,High,Verified
435,Manchester,29,Employed,4821926,High,Verified
436,Manchester,29,Self-Employed,822995,Low,Rejected
437,St. Catherine,58,Unemployed,5873056,High,Verified
438,St. James,31,Self-Employed,2453005,Low,Verified
439,Manchester,42,Unemployed,7043383,Low,Verified
440,Kingston,53,Unemployed,2512355,Low,Verified
441,Kingston,56,Self-Employed,1241168,Low,Pending
442,Clarendon,65,Unemployed,1489197,Low,Pending
443,St. James,43,Unemployed,6747117,Low,Rejected
444,St. James,65,Employed,1299471,Low,Verified
445,Clarendon,65,Employed,6874999,Low,Pending
446,Manchester,54,Employed,5749331,Medium,Verified
447,St. James,29,Employed,6080156,Medium,Pending
448,Kingston,44,Unemployed,6601691,Low,Pending
449,Kingston,28,Self-Employed,3213911,Low,Verified
450,St. Catherine,27,Unemployed,5484162,Medium,Verified
451,St. James,56,Unemployed,4448984,Medium,Verified
452,Manchester,38,Unemployed,810514,Low,Verified
453,Clarendon,23,Self-Employed,2944608,Medium,Rejected
454,Clarendon,48,Employed,2904385,High,Verified
455,Manchester,26,Unemployed,6306126,Low,Verified
456,St. Catherine,64,Unemployed,4011861,Low,Verified
457,Clarendon,64,Employed,3730299,Low,Pending
458,St. James,41,Unemployed,5891281,Medium,Verified
459,St. Catherine,48,Self-Employed,1428373,Low,Verified
460,St. James,60,Unemployed,1433389,Low,Verified
461,Kingston,21,Unemployed,1957260,Low,Verified
462,St. Catherine,56,Employed,2175520,High,Verified
463,Clarendon,41,Unemployed,7710681,Medium,Pending
464,St. Catherine,63,Unemployed,7032474,Medium,Verified
465,St. Catherine,55,Self-Employed,4155000,High,Verified
466,St. Catherine,33,Employed,4381311,Low,Verified
467,St. Catherine,69,Employed,6958157,High,Verified
468,St. James,30,Self-Employed,4583831,Medium,Verified
469,Kingston,64,Unemployed,5982190,Low,Verified
470,Manchester,67,Employed,5121906,High,Verified
471,St. Catherine,30,Employed,4596286,High,Verified
472,Clarendon,66,Unemployed,2761328,High,Verified
473,St. Catherine,33,Unemployed,4889437,Low,Pending
474,Clarendon,57,Employed,7903458,High,Verified
475,St. James,58,Unemployed,4369199,High,Pending
476,Clarendon,44,Employed,4491198,Low,Pending
477,Manchester,22,Unemployed,2150093,Low,Verified
478,Kingston,42,Unemployed,993691,Low,Pending
479,Clarendon,37,Self-Employed,7369643,High,Verified
480,Clarendon,56,Unemployed,4384476,Medium,Verified
481,Kingston,34,Self-Employed,7323818,Low,Verified
482,Manchester,30,Unemployed,7288464,Low,Verified
483,St. Catherine,55,Employed,5275687,Low,Verified
484,Clarendon,45,Employed,1990064,Medium,Verified
485,Kingston,23,Unemployed,3765560,Low,Verified
486,St. James,67,Unemployed,5542998,High,Verified
487,Kingston,58,Employed,4209747,Medium,Verified
488,St. James,37,Unemployed,6555327,Medium,Verified
489,Manchester,32,Self-Employed,2803146,Low,Verified
490,St. Catherine,44,Self-Employed,3392440,Low,Verified
491,Kingston,49,Self-Employed,1279969,Low,Verified
492,Clarendon,63,Self-Employed,7300553,Low,Verified
493,Manchester,45,Self-Employed,3291721,Low,Pending
494,Kingston,56,Unemployed,1482346,High,Pending
495,Clarendon,46,Unemployed,1804411,Low,Verified
496,Kingston,58,Self-Employed,5795427,Low,Pending
497,St. James,21,Unemployed,5195223,Low,Verified
498,Kingston,40,Unemployed,3731659,Low,Verified
499,Kingston,48,Self-Employed,999542,High,Rejected
500,Kingston,36,Unemployed,2520342,Low,Verified
501,Manchester,67,Unemployed,4283802,Low,Rejected
502,Kingston,37,Unemployed,2619833,Medium,Verified
503,Clarendon,60,Self-Employed,2750500,Low,Verified
504,St. James,48,Unemployed,5887365,Low,Verified
505,St. James,32,Employed,4884032,Low,Verified
506,Kingston,47,Employed,2023045,Low,Verified
507,Manchester,62,Self-Employed,5641905,Low,Verified
508,Manchester,67,Employed,3704936,Low,Pending
509,Clarendon,50,Self-Employed,2736983,High,Verified
510,Kingston,61,Employed,2204568,Low,Verified
511,St. James,54,Employed,1560956,Medium,Verified
512,Manchester,57,Employed,4354382,Medium,Pending
513,Kingston,26,Self-Employed,7922887,Medium,Verified
514,Manchester,27,Self-Employed,4488498,Low,Verified
515,Manchester,52,Unemployed,5157847,Low,Rejected
516,St. James,52,Self-Employed,5365861,Medium,Verified
517,St. Catherine,45,Employed,1299964,Medium,Verified
518,Clarendon,53,Employed,7145669,Medium,Pending
519,Clarendon,27,Self-Employed,3797493,Low,Pending
520,St. James,32,Self-Employed,1599458,High,Verified
521,Manchester,36,Self-Employed,7438784,Low,Verified
522,Kingston,36,Unemployed,805435,Low,Pending
523,Manchester,63,Employed,939565,Low,Verified
524,St. James,56,Unemployed,3742905,Low,Rejected
525,Clarendon,33,Unemployed,5914571,Low,Verified
526,Manchester,27,Employed,4228261,Medium,Verified
527,Clarendon,56,Employed,7122954,High,Verified
528,Kingston,67,Self-Employed,5882281,High,Pending
529,Clarendon,29,Self-Employed,5554417,Low,Pending
530,Clarendon,52,Unemployed,2127654,Medium,Verified
531,St. Catherine,31,Self-Employed,3427014,Low,Rejected
