Score_ID,Customer_ID,Score_Value,Risk_Band,Model_Version,Decision
89,89,825,Low,v1,Approve
90,90,815,Low,v1,Approve
91,91,558,Medium,v1,Approve
92,92,415,Low,v2,Approve
93,93,488,Low,v1,Approve
94,94,738,High,v2,Reject
95,95,628,High,v1,Approve
96,96,805,Medium,v1,Approve
97,97,405,Low,v2,Approve
98,98,392,Low,v2,Approve
99,99,699,High,v1,Reject
100,100,669,Low,v2,Approve
101,101,450,High,v2,Reject
102,102,803,Medium,v2,Reject
103,103,644,High,v2,Reject
104,104,320,Medium,v1,Reject
105,105,567,Low,v2,Approve
106,106,437,Low,v1,Approve
107,107,811,Medium,v1,Reject
108,108,536,High,v2,Approve
109,109,598,Medium,v1,Approve
110,110,809,Medium,v2,Approve
111,111,557,Low,v1,Reject
112,112,424,Low,v2,Approve
113,113,779,High,v1,Approve
114,114,638,Low,v1,Reject
115,115,591,Low,v1,Reject
116,116,487,Medium,v2,Approve
117,117,448,Low,v2,Approve
118,118,832,Medium,v2,Reject
119,119,373,Medium,v1,Reject
120,120,699,Medium,v2,Reject
121,121,546,High,v2,Approve
122,122,512,High,v1,Approve
123,123,619,Medium,v1,Reject
124,124,651,Low,v1,Approve
125,125,392,Low,v2,Reject
126,126,469,Medium,v2,Approve
127,127,646,Low,v1,Reject
128,128,818,Medium,v1,Approve
129,129,404,Low,v1,Reject
130,130,711,Medium,v1,Reject
131,131,300,Low,v2,Approve
132,132,760,Medium,v1,Reject
133,133,842,Low,v2,Reject
134,134,638,Medium,v1,Approve
135,135,575,High,v1,Approve
136,136,508,High,v1,Approve
137,137,738,Medium,v2,Approve
138,138,549,Low,v1,Approve
139,139,466,Low,v2,Reject
140,140,688,High,v2,Reject
141,141,468,Medium,v1,Approve
142,142,601,Low,v2,Approve
143,143,721,Low,v1,Reject
144,144,580,Medium,v2,Approve
145,145,778,Low,v1,Approve
146,146,640,High,v2,Reject
147,147,656,High,v2,Approve
148,148,569,Low,v2,Reject
149,149,408,Low,v1,Reject
150,150,810,Low,v2,Approve
151,151,469,High,v1,Reject
152,152,781,Medium,v1,Approve
153,153,676,High,v1,Reject
154,154,401,Medium,v2,Approve
155,155,373,High,v2,Reject
156,156,687,Low,v1,Approve
157,157,565,Medium,v1,Reject
158,158,782,Medium,v2,Reject
159,159,730,Medium,v2,Approve
160,160,629,High,v2,Approve
161,161,521,Medium,v1,Approve
162,162,693,High,v1,Reject
163,163,802,High,v2,Reject
164,164,674,Medium,v1,Reject
165,165,486,Medium,v1,Reject
166,166,621,High,v1,Approve
167,167,648,Low,v2,Reject
168,168,478,High,v2,Approve
169,169,719,High,v1,Reject
170,170,620,High,v2,Reject
171,171,517,High,v2,Approve
172,172,347,High,v1,Approve
173,173,589,Low,v2,Approve
174,174,515,Medium,v1,Approve
175,175,492,Low,v2,Approve
176,176,642,Low,v1,Approve
177,177,634,Medium,v1,Approve
178,178,507,High,v1,Reject
179,179,420,Medium,v2,Approve
180,180,737,Low,v2,Approve
181,181,823,Medium,v2,Reject
182,182,381,High,v1,Reject
183,183,760,Medium,v2,Approve
184,184,814,Medium,v2,Approve
185,185,722,High,v2,Reject
186,186,658,Low,v1,Reject
187,187,599,High,v1,Reject
188,188,352,Medium,v2,Approve
189,189,347,Medium,v1,Approve
190,190,623,Medium,v2,Reject
191,191,670,High,v2,Approve
192,192,586,Low,v1,Reject
193,193,353,High,v1,Reject
194,194,590,High,v2,Reject
195,195,444,Medium,v2,Reject
196,196,803,Medium,v2,Reject
197,197,742,Medium,v1,Approve
198,198,412,Medium,v1,Reject
199,199,342,High,v1,Approve
200,200,780,High,v2,Reject
201,201,402,Low,v2,Reject
202,202,461,High,v2,Approve
203,203,683,Low,v2,Reject
204,204,514,Medium,v2,Approve
205,205,364,Low,v2,Reject
206,206,424,Low,v1,Reject
207,207,776,High,v1,Reject
208,208,692,Medium,v2,Reject
209,209,625,Medium,v1,Reject
210,210,443,Medium,v1,Approve
211,211,645,High,v1,Reject
212,212,407,Low,v2,Approve
213,213,479,Medium,v1,Reject
214,214,347,High,v1,Reject
215,215,361,Medium,v1,Approve
216,216,757,High,v2,Approve
217,217,663,Medium,v2,Reject
218,218,311,High,v1,Reject
219,219,555,High,v1,Approve
220,220,344,Low,v2,Approve
221,221,699,Medium,v2,Approve
222,222,798,Medium,v1,Approve
223,223,768,Medium,v1,Approve
224,224,456,High,v1,Reject
225,225,617,Medium,v1,Reject
226,226,302,High,v1,Approve
227,227,390,Medium,v1,Reject
228,228,556,Medium,v1,Approve
229,229,317,High,v2,Reject
230,230,797,Medium,v2,Reject
231,231,679,Low,v2,Reject
232,232,571,Low,v1,Reject
233,233,707,Low,v2,Approve
234,234,375,High,v2,Reject
235,235,699,High,v2,Approve
236,236,407,Medium,v1,Reject
237,237,741,High,v1,Approve
238,238,636,High,v1,Reject
239,239,749,Medium,v2,Reject
240,240,367,Medium,v2,Approve
241,241,519,High,v1,Approve
242,242,540,Low,v1,Approve
243,243,558,Medium,v1,Reject
244,244,676,Low,v1,Approve
245,245,478,High,v1,Approve
246,246,338,High,v2,Reject
247,247,666,High,v1,Approve
248,248,311,High,v1,Approve
249,249,302,High,v2,Reject
250,250,549,Medium,v1,Reject
251,251,552,High,v2,Reject
252,252,830,High,v1,Reject
253,253,724,Low,v1,Approve
254,254,445,Medium,v1,Approve
255,255,715,High,v2,Reject
256,256,621,Medium,v1,Approve
257,257,767,High,v1,Approve
258,258,396,Medium,v2,Approve
259,259,515,Low,v2,Reject
260,260,458,Low,v1,Reject
261,261,486,High,v2,Approve
262,262,580,Low,v1,Approve
263,263,665,Low,v1,Reject
264,264,335,High,v2,Approve
265,265,687,Low,v2,Reject
266,266,446,Low,v2,Approve
267,267,711,Medium,v2,Reject
268,268,720,Low,v2,Reject
269,269,355,High,v2,Approve
270,270,341,Medium,v2,Reject
271,271,844,Medium,v2,Reject
272,272,797,Low,v2,Approve
273,273,597,Medium,v2,Reject
274,274,455,High,v2,Reject
275,275,825,High,v1,Reject
276,276,682,Low,v1,Reject
277,277,574,Low,v1,Approve
278,278,733,High,v2,Reject
279,279,536,Low,v1,Reject
280,280,639,High,v2,Reject
281,281,620,High,v2,Reject
282,282,440,High,v1,Approve
283,283,701,Medium,v2,Reject
284,284,413,Low,v2,Reject
285,285,568,Medium,v1,Reject
286,286,672,Medium,v1,Reject
287,287,747,Medium,v1,Reject
288,288,567,High,v2,Approve
289,289,686,High,v1,Approve
290,290,697,High,v1,Reject
291,291,443,Medium,v1,Reject
292,292,801,Low,v2,Approve
293,293,566,High,v2,Approve
294,294,734,Low,v1,Approve
295,295,563,Medium,v1,Reject
296,296,794,High,v1,Approve
297,297,459,High,v1,Reject
298,298,512,High,v1,Reject
299,299,697,High,v1,Approve
300,300,453,Medium,v2,Approve
301,301,709,High,v2,Reject
302,302,770,Medium,v2,Approve
303,303,810,High,v1,Approve
304,304,775,Low,v1,Approve
305,305,694,High,v2,Approve
306,306,822,Medium,v2,Reject
307,307,508,Low,v2,Approve
308,308,569,Medium,v1,Approve
309,309,357,Medium,v2,Reject
310,310,372,Medium,v1,Approve
311,311,490,Medium,v1,Reject
312,312,441,Medium,v2,Approve
313,313,548,High,v1,Approve
314,314,682,Medium,v2,Approve
315,315,762,Medium,v1,Reject
316,316,439,High,v1,Approve
317,317,724,Medium,v2,Approve
318,318,742,Medium,v2,Approve
319,319,705,Low,v2,Approve
320,320,357,Low,v2,Reject
321,321,401,High,v2,Reject
322,322,426,Medium,v1,Reject
323,323,651,High,v1,Reject
324,324,691,Low,v1,Reject
325,325,730,Medium,v2,Approve
326,326,410,Low,v1,Approve
327,327,459,High,v1,Approve
328,328,405,Low,v1,Reject
329,329,589,High,v1,Reject
330,330,647,High,v2,Approve
331,331,762,High,v1,Approve
332,332,840,High,v1,Reject
333,333,737,Low,v1,Approve
334,334,340,Low,v1,Reject
335,335,419,High,v1,Reject
336,336,418,High,v1,Reject
337,337,764,Low,v1,Reject
338,338,355,Low,v2,Approve
339,339,473,High,v1,Reject
340,340,460,High,v1,Approve
341,341,421,Low,v2,Reject
342,342,849,Medium,v2,Reject
343,343,661,Medium,v1,Reject
344,344,832,Medium,v1,Approve
345,345,658,Medium,v2,Reject
346,346,481,High,v1,Reject
347,347,712,Medium,v1,Reject
348,348,780,Medium,v2,Approve
349,349,645,Medium,v1,Approve
350,350,318,High,v2,Reject
351,351,551,Medium,v1,Reject
352,352,795,High,v1,Reject
353,353,836,High,v1,Reject
354,354,601,High,v1,Approve
355,355,780,High,v2,Approve
356,356,467,Medium,v1,Reject
357,357,650,High,v1,Reject
358,358,761,Medium,v1,Reject
359,359,591,Medium,v2,Approve
360,360,360,Medium,v1,Approve
361,361,532,Medium,v1,Reject
362,362,745,Low,v2,Reject
363,363,342,High,v2,Reject
364,364,748,High,v2,Reject
365,365,798,High,v1,Reject
366,366,411,Medium,v1,Reject
367,367,539,Low,v1,Reject
368,368,786,Medium,v2,Reject
369,369,686,Low,v1,Approve
370,370,527,High,v2,Reject
371,371,565,High,v1,Approve
372,372,766,High,v2,Reject
373,373,306,Medium,v2,Reject
374,374,846,Medium,v2,Reject
375,375,708,High,v1,Approve
376,376,383,Medium,v1,Approve
377,377,518,Medium,v2,Reject
378,378,528,High,v2,Approve
379,379,684,Medium,v2,Reject
380,380,602,Low,v1,Reject
381,381,586,Medium,v2,Reject
382,382,794,Medium,v1,Reject
383,383,652,Medium,v1,Approve
384,384,665,Medium,v2,Approve
385,385,621,Low,v2,Reject
386,386,380,Low,v2,Reject
387,387,677,High,v1,Reject
388,388,336,High,v1,Approve
389,389,752,High,v2,Approve
390,390,441,Medium,v2,Reject
391,391,606,Low,v1,Approve
392,392,330,Medium,v1,Approve
393,393,386,Medium,v2,Reject
394,394,647,Medium,v2,Approve
395,395,329,High,v2,Reject
396,396,755,Medium,v1,Reject
397,397,782,Low,v2,Reject
398,398,361,Medium,v1,Approve
399,399,658,Low,v1,Reject
400,400,589,Low,v2,Approve
401,401,793,High,v2,Approve
402,402,475,Low,v1,Reject
403,403,352,Medium,v2,Reject
404,404,423,Low,v1,Approve
405,405,306,Low,v1,Approve
406,406,717,Low,v2,Approve
407,407,549,Low,v2,Approve
408,408,731,Medium,v1,Approve
409,409,771,High,v1,Reject
410,410,346,High,v1,Reject
411,411,712,Low,v1,Approve
412,412,576,High,v2,Reject
413,413,349,Medium,v2,Approve
414,414,649,High,v2,Reject
415,415,757,Low,v1,Reject
416,416,539,High,v2,Reject
417,417,681,High,v2,Reject
418,418,610,Low,v2,Approve
419,419,763,Low,v2,Approve
420,420,702,Medium,v2,Approve
421,421,320,Low,v1,Approve
422,422,773,High,v1,Approve
423,423,516,Medium,v1,Reject
424,424,723,Low,v2,Reject
425,425,720,Medium,v1,Reject
426,426,720,High,v2,Approve
427,427,653,Medium,v1,Reject
428,428,460,Medium,v1,Reject
429,429,591,Low,v1,Reject
430,430,793,High,v1,Approve
431,431,471,High,v2,Reject
432,432,596,High,v1,Approve
433,433,707,Medium,v1,Reject
434,434,526,Low,v2,Reject
435,435,426,High,v1,Reject
436,436,581,Low,v2,Approve
437,437,345,Medium,v1,Approve
438,438,712,High,v1,Approve
439,439,641,High,v1,Reject
440,440,359,Low,v2,Approve
441,441,637,Low,v1,Approve
442,442,528,High,v2,Approve
443,443,350,Low,v2,Approve
444,444,745,Low,v1,Reject
445,445,583,High,v2,Approve
446,446,421,Low,v2,Reject
447,447,422,Low,v2,Approve
448,448,362,Medium,v1,Reject
449,449,534,High,v2,Reject
450,450,315,Low,v2,Reject
451,451,837,Low,v2,Approve
452,452,796,High,v1,Reject
453,453,447,Low,v1,Approve
454,454,538,Medium,v2,Reject
455,455,454,Low,v2,Reject
456,456,598,Medium,v1,Reject
457,457,521,Medium,v2,Reject
458,458,602,Medium,v1,Approve
459,459,777,High,v1,Approve
460,460,819,Medium,v1,Reject
461,461,692,Low,v2,Reject
462,462,695,Medium,v1,Approve
463,463,370,Low,v2,Approve
464,464,531,Low,v1,Reject
465,465,611,High,v1,Reject
466,466,697,Low,v1,Approve
467,467,389,Medium,v2,Approve
468,468,316,High,v1,Reject
469,469,754,Medium,v1,Reject
470,470,371,High,v1,Reject
471,471,716,Medium,v2,Reject
472,472,559,Low,v2,Reject
473,473,573,Low,v1,Approve
474,474,595,High,v1,Approve
475,475,790,Medium,v1,Approve
476,476,435,High,v1,Approve
477,477,311,Low,v1,Reject
478,478,338,High,v1,Approve
479,479,331,Medium,v2,Reject
480,480,630,Low,v1,Approve
481,481,447,Low,v1,Reject
482,482,655,Low,v2,Approve
483,483,830,High,v2,Reject
484,484,557,Low,v1,Approve
485,485,671,Low,v1,Approve
486,486,839,Low,v1,Approve
487,487,797,Low,v1,Approve
488,488,574,High,v2,Approve
489,489,567,High,v1,Approve
490,490,500,Low,v1,Approve
491,491,535,Medium,v1,Reject
492,492,428,Low,v1,Reject
493,493,833,Low,v2,Approve
494,494,738,Medium,v2,Approve
495,495,314,Medium,v2,Approve
496,496,452,Medium,v1,Approve
497,497,402,High,v2,Approve
498,498,681,Medium,v1,Approve
499,499,483,Low,v1,Reject
500,500,547,High,v2,Reject
501,501,810,Low,v1,Approve
502,502,366,Medium,v2,Approve
503,503,712,Low,v2,Reject
504,504,601,Medium,v2,Approve
505,505,400,High,v1,Approve
506,506,421,High,v2,Reject
507,507,443,Medium,v1,Reject
508,508,588,Low,v1,Approve
509,509,374,Medium,v1,Approve
510,510,486,Low,v1,Approve
511,511,434,Medium,v1,Approve
512,512,545,Low,v1,Reject
513,513,700,High,v2,Approve
514,514,617,Low,v2,Approve
515,515,758,Low,v1,Approve
516,516,547,Low,v2,Approve
517,517,387,Medium,v2,Approve
518,518,808,Low,v1,Reject
519,519,447,Medium,v1,Approve
520,520,848,Low,v1,Reject
521,521,690,High,v1,Reject
522,522,451,Medium,v1,Reject
523,523,618,Medium,v1,Approve
524,524,491,High,v1,Reject
525,525,354,High,v2,Reject
526,526,448,High,v1,Approve
527,527,385,Low,v2,Reject
528,528,316,High,v1,Approve
529,529,549,Low,v2,Approve
530,530,496,Low,v2,Reject
531,531,365,Low,v1,Reject
532,532,639,Low,v2,Approve
533,533,810,Medium,v1,Approve
534,534,721,Medium,v1,Approve
535,535,490,Medium,v1,Reject
536,536,758,Low,v2,Reject
537,537,825,High,v2,Approve
538,538,457,Low,v2,Reject
539,539,790,High,v2,Approve
540,540,806,Low,v2,Approve
541,541,751,High,v1,Reject
542,542,739,Low,v2,Approve
543,543,476,Medium,v2,Reject
544,544,668,High,v2,Approve
545,545,449,Medium,v2,Approve
546,546,368,Low,v1,Reject
547,547,392,Medium,v1,Reject
548,548,676,High,v1,Approve
549,549,439,High,v2,Approve
550,550,464,High,v1,Reject
551,551,308,Medium,v2,Approve
552,552,562,High,v2,Reject
553,553,620,Medium,v1,Approve
554,554,545,Medium,v2,Reject
555,555,518,High,v2,Approve
556,556,820,Medium,v2,Approve
557,557,674,Medium,v1,Approve
558,558,688,Low,v2,Approve
559,559,476,Medium,v1,Approve
560,560,343,High,v2,Approve
561,561,761,Low,v1,Approve
562,562,500,High,v1,Reject
563,563,709,Low,v2,Approve
564,564,813,Low,v2,Reject
565,565,764,Low,v2,Reject
566,566,634,High,v2,Reject
567,567,765,Low,v1,Reject
568,568,701,Medium,v2,Approve
569,569,823,Low,v2,Reject
570,570,331,Medium,v2,Reject
571,571,388,Medium,v2,Approve
572,572,803,Low,v1,Approve
573,573,503,Medium,v1,Reject
574,574,809,Low,v1,Approve
575,575,711,Low,v1,Approve
576,576,355,High,v1,Reject
577,577,416,Low,v1,Reject
578,578,512,Low,v1,Approve
579,579,479,Medium,v2,Reject
580,580,648,Medium,v1,Approve
581,581,832,Low,v1,Reject
582,582,368,Medium,v1,Reject
583,583,503,Low,v1,Reject
584,584,521,Medium,v2,Approve
585,585,323,Low,v2,Approve
586,586,429,High,v2,Approve
587,587,769,Low,v2,Approve
588,588,449,Low,v1,Reject
589,589,368,Medium,v1,Approve
590,590,584,High,v1,Reject
591,591,522,Low,v2,Reject
592,592,461,High,v2,Reject
593,593,648,Medium,v1,Reject
594,594,824,Low,v1,Approve
595,595,400,Medium,v1,Reject
596,596,311,Low,v1,Approve
597,597,698,Low,v2,Reject
598,598,578,High,v1,Reject
599,599,300,Low,v1,Approve
600,600,359,Medium,v1,Reject
601,601,784,Low,v2,Approve
602,602,455,Low,v1,Approve
603,603,699,Low,v2,Approve
604,604,474,High,v2,Reject
605,605,390,Low,v1,Reject
606,606,375,Low,v2,Approve
607,607,427,High,v1,Approve
608,608,338,High,v2,Reject
609,609,472,High,v1,Approve
610,610,694,High,v1,Reject
611,611,601,High,v1,Approve
612,612,841,High,v1,Reject
613,613,548,Medium,v2,Reject
614,614,661,Medium,v2,Reject
615,615,827,Medium,v2,Reject
616,616,455,Medium,v2,Reject
617,617,328,Medium,v1,Approve
618,618,472,High,v2,Reject
619,619,353,Medium,v1,Reject
620,620,597,High,v2,Approve
621,621,652,High,v1,Reject
622,622,541,Medium,v1,Approve
623,623,418,Low,v2,Reject
624,624,772,Low,v2,Approve
625,625,833,Medium,v2,Reject
626,626,727,Medium,v1,Reject
627,627,385,Low,v2,Reject
628,628,846,Low,v1,Reject
629,629,659,Medium,v2,Approve
630,630,808,Low,v2,Approve
631,631,498,High,v1,Approve
632,632,836,Low,v1,Reject
633,633,752,Low,v1,Reject
634,634,358,Medium,v1,Reject
635,635,776,High,v2,Reject
636,636,708,High,v2,Reject
637,637,811,Low,v2,Approve
638,638,782,High,v1,Approve
639,639,759,Low,v1,Approve
640,640,533,High,v1,Reject
641,641,677,Medium,v2,Approve
642,642,457,Low,v2,Approve
643,643,836,Low,v2,Reject
644,644,528,Low,v1,Approve
645,645,634,Medium,v2,Reject
646,646,828,High,v2,Reject
647,647,723,Medium,v2,Reject
648,648,784,High,v2,Reject
649,649,466,Low,v2,Approve
650,650,725,Low,v1,Reject
651,651,408,High,v2,Approve
652,652,403,High,v2,Approve
653,653,325,High,v1,Approve
654,654,458,Low,v2,Reject
655,655,793,Medium,v2,Approve
656,656,548,High,v1,Reject
657,657,731,High,v1,Reject
658,658,828,Low,v2,Reject
659,659,465,High,v1,Reject
660,660,741,Low,v1,Reject
661,661,393,Medium,v1,Approve
662,662,717,Low,v1,Approve
663,663,811,Medium,v1,Reject
664,664,819,Medium,v2,Approve
665,665,708,High,v1,Reject
666,666,333,Low,v2,Reject
667,667,760,Medium,v2,Reject
668,668,503,High,v1,Approve
669,669,725,High,v2,Approve
670,670,464,High,v2,Reject
671,671,448,Low,v2,Approve
672,672,825,Medium,v2,Approve
673,673,452,High,v1,Reject
674,674,650,Medium,v2,Reject
675,675,534,Medium,v2,Reject
676,676,326,Low,v2,Approve
677,677,657,Low,v2,Approve
678,678,719,High,v2,Reject
679,679,470,Low,v1,Approve
680,680,460,Medium,v2,Approve
681,681,316,Low,v2,Reject
682,682,534,Low,v1,Reject
683,683,563,Medium,v1,Reject
684,684,373,High,v2,Reject
685,685,500,Low,v2,Approve
686,686,477,Medium,v1,Reject
687,687,734,Low,v1,Approve
688,688,315,Low,v2,Reject
689,689,704,High,v2,Reject
690,690,421,High,v1,Reject
691,691,568,Low,v2,Approve
692,692,488,Low,v2,Reject
693,693,843,Low,v1,Approve
694,694,580,Medium,v2,Reject
695,695,555,Medium,v1,Approve
696,696,753,Low,v2,Reject
697,697,317,High,v1,Approve
698,698,562,Low,v2,Approve
699,699,701,Medium,v2,Approve
700,700,543,Medium,v1,Reject
701,701,594,High,v2,Reject
702,702,491,High,v2,Approve
703,703,346,Medium,v1,Reject
704,704,417,Low,v1,Approve
705,705,580,High,v2,Approve
706,706,822,Low,v2,Approve
707,707,712,High,v2,Reject
708,708,568,High,v1,Reject
709,709,513,High,v2,Reject
710,710,537,High,v1,Reject
711,711,826,Medium,v2,Approve
712,712,415,Medium,v1,Reject
713,713,801,High,v2,Reject
714,714,701,High,v1,Approve
715,715,512,Medium,v2,Reject
716,716,383,High,v1,Approve
717,717,663,Low,v1,Reject
718,718,448,Low,v2,Approve
719,719,611,Low,v2,Reject
720,720,557,High,v2,Reject
721,721,849,High,v1,Reject
722,722,730,Low,v1,Reject
723,723,814,Low,v2,Reject
724,724,367,Low,v2,Approve
725,725,447,Medium,v2,Approve
726,726,472,Low,v2,Reject
727,727,807,Medium,v1,Approve
728,728,829,Low,v2,Approve
729,729,383,Low,v1,Reject
730,730,779,Medium,v2,Approve
731,731,574,High,v1,Approve
732,732,553,Medium,v1,Approve
733,733,428,Low,v2,Reject
734,734,650,High,v2,Approve
735,735,366,High,v2,Approve
736,736,465,High,v2,Reject
737,737,594,Low,v2,Reject
738,738,301,Medium,v1,Reject
739,739,706,High,v2,Reject
740,740,743,Low,v2,Reject
741,741,570,High,v2,Approve
742,742,590,Medium,v1,Reject
743,743,638,High,v2,Reject
744,744,465,Medium,v1,Approve
745,745,800,High,v1,Reject
746,746,637,High,v2,Approve
747,747,508,Medium,v1,Reject
748,748,742,Low,v1,Approve
749,749,519,High,v2,Approve
750,750,801,High,v1,Approve
751,751,726,High,v1,Reject
752,752,544,Low,v1,Reject
753,753,805,Medium,v1,Reject
754,754,373,High,v1,Reject
755,755,516,Low,v1,Reject
756,756,706,Medium,v1,Reject
757,757,461,High,v1,Approve
758,758,643,Low,v1,Reject
759,759,763,Low,v1,Approve
760,760,766,Low,v1,Approve
761,761,730,Medium,v1,Reject
762,762,438,Medium,v1,Approve
763,763,625,High,v1,Reject
764,764,659,Low,v2,Reject
765,765,793,Low,v1,Approve
766,766,512,Medium,v1,Approve
767,767,414,Medium,v1,Reject
768,768,452,Medium,v1,Reject
769,769,520,High,v1,Reject
770,770,733,Medium,v2,Approve
771,771,565,High,v2,Approve
772,772,551,Medium,v2,Approve
773,773,438,High,v1,Approve
774,774,828,High,v2,Approve
775,775,381,Medium,v2,Reject
776,776,353,High,v2,Reject
777,777,703,Low,v2,Approve
778,778,655,Low,v1,Reject
779,779,719,High,v1,Reject
780,780,573,Medium,v2,Approve
781,781,505,Medium,v2,Reject
782,782,768,Medium,v2,Reject
783,783,696,High,v1,Approve
784,784,309,Low,v1,Approve
785,785,375,Medium,v2,Reject
786,786,345,Medium,v2,Reject
787,787,678,Low,v2,Approve
788,788,348,Medium,v2,Approve
789,789,516,Low,v1,Approve
790,790,628,Medium,v1,Approve
791,791,457,Medium,v2,Approve
792,792,763,High,v1,Approve
793,793,743,Low,v2,Approve
794,794,310,High,v2,Approve
795,795,631,Low,v2,Reject
796,796,673,Medium,v2,Approve
797,797,646,Medium,v1,Approve
798,798,653,High,v1,Reject
799,799,621,Medium,v2,Reject
800,800,544,Low,v2,Approve
801,801,563,Low,v1,Reject
802,802,677,High,v1,Reject
803,803,815,Medium,v2,Reject
804,804,512,High,v1,Reject
805,805,555,Low,v1,Reject
806,806,619,Low,v1,Approve
807,807,742,High,v1,Reject
808,808,563,Medium,v2,Approve
809,809,452,Low,v2,Reject
810,810,422,Low,v1,Approve
811,811,456,High,v2,Approve
812,812,380,Low,v1,Approve
813,813,762,Low,v2,Reject
814,814,680,Low,v1,Approve
815,815,683,Low,v1,Reject
816,816,777,High,v2,Approve
817,817,595,Low,v1,Approve
818,818,403,High,v1,Approve
819,819,799,Low,v1,Reject
820,820,733,Medium,v2,Reject
821,821,429,High,v2,Reject
822,822,804,Low,v1,Reject
823,823,440,High,v1,Approve
824,824,465,Low,v1,Reject
825,825,480,Low,v1,Reject
826,826,557,High,v1,Approve
827,827,472,Low,v2,Approve
828,828,390,Medium,v1,Reject
829,829,787,Low,v2,Approve
830,830,656,High,v1,Approve
831,831,693,High,v1,Reject
832,832,400,High,v2,Approve
833,833,638,Medium,v1,Reject
834,834,456,High,v2,Approve
835,835,811,Medium,v1,Approve
836,836,570,High,v2,Reject
837,837,637,High,v1,Approve
838,838,829,High,v2,Approve
839,839,676,High,v2,Approve
840,840,552,High,v1,Approve
841,841,665,Low,v1,Reject
842,842,410,Medium,v2,Reject
843,843,777,Low,v1,Approve
844,844,730,High,v1,Reject
845,845,434,High,v1,Reject
846,846,557,Medium,v1,Reject
847,847,843,Medium,v1,Approve
848,848,598,Medium,v1,Reject
849,849,711,Medium,v2,Approve
850,850,466,High,v2,Reject
851,851,412,High,v2,Reject
852,852,373,Medium,v1,Reject
853,853,740,High,v1,Approve
854,854,681,Low,v1,Approve
855,855,790,Low,v2,Approve
856,856,602,Low,v2,Reject
857,857,346,Low,v1,Approve
858,858,528,High,v1,Approve
859,859,379,High,v2,Reject
860,860,485,Low,v2,Approve
861,861,683,Low,v2,Approve
862,862,424,Medium,v1,Reject
863,863,497,Medium,v2,Approve
864,864,663,Medium,v1,Approve
865,865,356,Low,v2,Approve
866,866,580,Medium,v2,Reject
867,867,440,Low,v2,Approve
868,868,641,High,v1,Reject
869,869,409,Low,v2,Approve
870,870,402,Medium,v1,Reject
