Log_ID,Timestamp,Action,User_Role,Data_Accessed,Compliance_Flag
65,2025-02-26,MODEL_RUN,Analyst,PII,OK
66,2024-05-29,MODEL_RUN,Analyst,Financial,OK
67,2022-10-29,MODEL_RUN,Admin,Financial,OK
68,2022-05-29,MODEL_RUN,Analyst,PII,OK
69,2022-01-07,MODEL_RUN,System,Financial,OK
70,2025-08-21,VIEW,System,Financial,OK
71,2025-10-22,VIEW,Analyst,PII,OK
72,2023-12-31,MODEL_RUN,System,Financial,OK
73,2025-12-03,MODEL_RUN,Analyst,Financial,OK
74,2024-06-28,MODEL_RUN,Admin,PII,Violation
75,2025-04-20,DATA_MASK,Analyst,Financial,Violation
76,2025-10-26,DATA_MASK,Admin,Financial,OK
77,2023-01-04,UPDATE,System,PII,OK
78,2023-05-02,DATA_MASK,Admin,Financial,OK
79,2024-08-10,UPDATE,System,Financial,OK
80,2025-04-12,UPDATE,Analyst,Financial,OK
81,2023-09-03,DATA_MASK,Admin,Financial,OK
82,2023-10-02,VIEW,Admin,PII,OK
83,2022-04-22,UPDATE,Admin,Financial,OK
84,2024-05-02,UPDATE,Analyst,Financial,Violation
85,2022-12-14,DATA_MASK,System,PII,OK
86,2022-03-19,UPDATE,Analyst,PII,OK
87,2025-06-07,VIEW,Analyst,PII,OK
88,2021-01-23,UPDATE,Analyst,PII,OK
89,2025-08-19,UPDATE,Admin,PII,OK
90,2025-04-03,VIEW,Analyst,PII,OK
91,2024-04-12,MODEL_RUN,Analyst,PII,OK
92,2023-10-31,DATA_MASK,System,Financial,OK
93,2021-12-28,MODEL_RUN,Admin,Financial,OK
94,2023-05-06,DATA_MASK,Analyst,Financial,Violation
95,2023-01-12,UPDATE,Analyst,Financial,OK
96,2022-04-21,DATA_MASK,Analyst,PII,OK
97,2023-08-23,DATA_MASK,System,Financial,OK
98,2022-06-12,MODEL_RUN,Admin,Financial,OK
99,2025-08-25,VIEW,Analyst,Financial,OK
100,2023-02-13,VIEW,System,PII,OK
101,2021-12-20,MODEL_RUN,System,PII,OK
102,2021-09-19,VIEW,System,Financial,OK
103,2024-04-24,DATA_MASK,Analyst,PII,OK
104,2021-04-01,DATA_MASK,Analyst,PII,OK
105,2023-10-02,DATA_MASK,System,PII,OK
106,2024-11-02,VIEW,Analyst,Financial,Violation
107,2023-12-16,VIEW,Analyst,PII,OK
108,2024-12-21,DATA_MASK,System,Financial,OK
109,2022-03-20,DATA_MASK,Analyst,PII,OK
110,2022-06-13,DATA_MASK,Analyst,PII,OK
111,2024-08-07,VIEW,System,Financial,OK
112,2023-08-28,VIEW,System,Financial,OK
113,2025-09-29,DATA_MASK,Admin,PII,OK
114,2021-09-23,MODEL_RUN,Admin,PII,OK
115,2022-10-20,UPDATE,System,Financial,OK
116,2021-06-07,MODEL_RUN,System,Financial,OK
117,2022-02-13,DATA_MASK,System,PII,OK
118,2024-09-26,DATA_MASK,Analyst,Financial,OK
119,2025-09-27,DATA_MASK,Admin,Financial,OK
120,2022-10-09,DATA_MASK,System,PII,OK
121,2023-10-13,VIEW,System,PII,OK
122,2023-12-10,DATA_MASK,Admin,Financial,OK
123,2023-07-06,UPDATE,System,PII,OK
124,2025-08-27,VIEW,System,PII,OK
125,2021-04-09,DATA_MASK,Analyst,Financial,OK
126,2023-02-13,DATA_MASK,Admin,Financial,OK
127,2025-01-17,VIEW,Admin,Financial,Violation
128,2025-01-09,UPDATE,Admin,Financial,Violation
129,2021-08-29,DATA_MASK,System,Financial,OK
130,2022-04-27,MODEL_RUN,Analyst,Financial,OK
131,2022-08-29,DATA_MASK,System,Financial,OK
132,2021-03-13,MODEL_RUN,Admin,Financial,OK
133,2023-11-09,DATA_MASK,Admin,PII,OK
134,2025-09-02,VIEW,System,PII,OK
135,2024-09-22,VIEW,Analyst,PII,OK
136,2025-05-21,VIEW,System,Financial,OK
137,2024-11-08,VIEW,System,Financial,OK
138,2021-06-18,DATA_MASK,Analyst,Financial,OK
139,2022-01-26,DATA_MASK,Analyst,Financial,OK
140,2021-02-11,MODEL_RUN,System,Financial,OK
141,2024-02-17,VIEW,Analyst,PII,OK
142,2025-02-28,UPDATE,Analyst,PII,OK
143,2021-08-28,UPDATE,Analyst,Financial,OK
144,2022-12-19,UPDATE,System,PII,OK
145,2025-10-27,UPDATE,Analyst,Financial,OK
146,2023-01-12,UPDATE,Analyst,PII,OK
147,2023-03-19,VIEW,System,Financial,OK
148,2022-08-21,DATA_MASK,Analyst,Financial,Violation
149,2024-10-09,UPDATE,System,Financial,OK
150,2021-03-19,DATA_MASK,Admin,PII,OK
151,2023-10-29,DATA_MASK,Analyst,Financial,OK
152,2023-02-23,VIEW,Admin,PII,OK
153,2021-01-28,VIEW,Analyst,Financial,OK
154,2025-12-21,VIEW,Admin,PII,OK
155,2024-05-09,UPDATE,System,Financial,OK
156,2025-08-11,VIEW,Analyst,Financial,OK
157,2022-07-02,VIEW,Admin,Financial,OK
158,2025-09-15,MODEL_RUN,Analyst,PII,OK
159,2024-02-24,VIEW,System,Financial,OK
160,2025-03-27,MODEL_RUN,System,PII,OK
161,2022-05-14,DATA_MASK,Analyst,Financial,Violation
162,2023-06-20,MODEL_RUN,System,PII,Violation
163,2023-05-18,MODEL_RUN,Admin,PII,OK
164,2023-04-30,MODEL_RUN,Admin,Financial,OK
165,2021-03-19,DATA_MASK,Admin,Financial,OK
166,2022-05-23,UPDATE,System,Financial,OK
167,2024-03-01,MODEL_RUN,Admin,Financial,OK
168,2022-02-21,UPDATE,Analyst,Financial,OK
169,2022-06-15,DATA_MASK,System,PII,Violation
170,2022-12-19,DATA_MASK,System,PII,OK
171,2024-10-05,UPDATE,Admin,Financial,OK
172,2021-04-06,VIEW,Admin,PII,OK
173,2021-10-05,VIEW,Analyst,Financial,Violation
174,2022-06-26,UPDATE,Analyst,PII,OK
175,2025-07-23,VIEW,System,PII,OK
176,2021-06-25,MODEL_RUN,Admin,PII,OK
177,2021-07-07,UPDATE,Admin,Financial,OK
178,2023-09-02,DATA_MASK,System,Financial,Violation
179,2025-01-08,DATA_MASK,Admin,PII,OK
180,2023-10-28,VIEW,Admin,PII,OK
181,2025-03-27,DATA_MASK,Analyst,Financial,OK
182,2021-06-21,MODEL_RUN,Analyst,PII,OK
183,2022-04-18,MODEL_RUN,Analyst,PII,OK
184,2021-12-29,UPDATE,Admin,Financial,OK
185,2021-10-28,UPDATE,Analyst,PII,Violation
186,2025-08-23,VIEW,Analyst,Financial,OK
187,2023-11-28,VIEW,Analyst,Financial,OK
188,2024-01-25,UPDATE,Admin,Financial,OK
189,2021-01-30,DATA_MASK,Analyst,PII,OK
190,2024-07-15,VIEW,Admin,PII,OK
191,2023-02-04,VIEW,Analyst,Financial,OK
192,2024-12-29,DATA_MASK,Admin,PII,OK
193,2023-12-06,VIEW,Admin,Financial,OK
194,2022-11-27,DATA_MASK,Admin,PII,OK
195,2021-07-06,UPDATE,System,PII,OK
196,2025-11-24,DATA_MASK,System,PII,OK
197,2022-09-11,MODEL_RUN,Admin,PII,Violation
198,2022-02-24,MODEL_RUN,System,PII,OK
199,2024-01-19,DATA_MASK,Admin,PII,OK
200,2022-04-22,UPDATE,Admin,Financial,OK
201,2021-12-02,VIEW,Analyst,Financial,OK
202,2025-10-16,VIEW,Analyst,PII,OK
203,2023-10-21,MODEL_RUN,Admin,Financial,OK
204,2023-08-21,DATA_MASK,Admin,PII,OK
205,2022-08-29,UPDATE,Analyst,PII,OK
206,2023-02-20,MODEL_RUN,System,PII,OK
207,2023-02-27,DATA_MASK,Admin,PII,OK
208,2022-04-10,DATA_MASK,System,Financial,OK
209,2021-09-17,VIEW,System,Financial,OK
210,2021-10-08,UPDATE,Analyst,Financial,OK
211,2021-07-08,VIEW,Analyst,PII,OK
212,2022-07-08,UPDATE,System,PII,OK
213,2024-07-09,VIEW,System,PII,OK
214,2023-02-16,MODEL_RUN,System,Financial,OK
215,2024-02-12,MODEL_RUN,Admin,Financial,OK
216,2023-03-19,MODEL_RUN,System,PII,Violation
217,2021-07-26,VIEW,System,Financial,OK
218,2025-02-10,DATA_MASK,Admin,Financial,OK
219,2024-01-22,MODEL_RUN,System,PII,Violation
220,2022-04-04,DATA_MASK,Admin,PII,Violation
221,2025-10-16,VIEW,System,Financial,OK
222,2024-10-05,DATA_MASK,Analyst,Financial,OK
223,2022-03-17,MODEL_RUN,Analyst,PII,OK
224,2025-02-20,UPDATE,Admin,Financial,OK
225,2025-03-19,VIEW,Admin,Financial,OK
226,2024-01-18,DATA_MASK,System,PII,OK
227,2025-09-20,DATA_MASK,System,PII,OK
228,2022-07-19,VIEW,System,PII,OK
229,2021-08-08,VIEW,Admin,Financial,Violation
230,2021-12-25,MODEL_RUN,Analyst,PII,OK
231,2023-01-27,UPDATE,Analyst,Financial,OK
232,2022-07-04,VIEW,Admin,Financial,OK
233,2022-04-01,VIEW,Admin,Financial,OK
234,2025-07-05,DATA_MASK,Analyst,PII,OK
235,2024-02-18,DATA_MASK,Analyst,Financial,OK
236,2021-10-20,UPDATE,System,Financial,OK
237,2024-03-20,UPDATE,Analyst,Financial,OK
238,2021-05-10,UPDATE,Analyst,PII,OK
239,2023-08-22,DATA_MASK,Analyst,PII,OK
240,2023-12-28,MODEL_RUN,Admin,Financial,OK
241,2022-05-04,DATA_MASK,System,Financial,OK
242,2025-06-14,MODEL_RUN,Analyst,Financial,OK
243,2024-06-16,VIEW,Admin,Financial,OK
244,2025-10-30,DATA_MASK,System,Financial,OK
245,2023-11-09,VIEW,Analyst,Financial,OK
246,2021-05-30,VIEW,System,PII,OK
247,2021-12-19,MODEL_RUN,Admin,Financial,OK
248,2025-08-19,MODEL_RUN,Analyst,PII,Violation
249,2025-03-30,MODEL_RUN,Admin,Financial,OK
250,2024-02-23,MODEL_RUN,System,Financial,OK
251,2023-09-27,MODEL_RUN,System,Financial,OK
252,2024-04-26,VIEW,Admin,PII,OK
253,2023-07-02,UPDATE,Admin,Financial,OK
254,2025-05-25,UPDATE,Analyst,PII,OK
255,2021-06-19,DATA_MASK,Analyst,Financial,OK
256,2023-05-26,VIEW,Admin,PII,OK
257,2024-07-26,UPDATE,Analyst,PII,OK
258,2022-04-22,VIEW,System,PII,OK
259,2023-03-31,VIEW,System,PII,Violation
260,2022-09-24,UPDATE,System,PII,OK
261,2022-02-16,MODEL_RUN,System,PII,OK
262,2021-10-05,VIEW,Analyst,PII,OK
263,2024-02-18,DATA_MASK,Analyst,Financial,OK
264,2023-11-20,VIEW,Analyst,Financial,OK
265,2023-05-25,UPDATE,Admin,PII,OK
266,2023-04-14,DATA_MASK,Analyst,PII,OK
267,2022-02-26,UPDATE,Admin,PII,OK
268,2024-03-13,UPDATE,Analyst,PII,OK
269,2025-11-04,UPDATE,Analyst,PII,OK
270,2025-04-01,UPDATE,Admin,Financial,Violation
271,2022-10-03,VIEW,Analyst,Financial,OK
272,2024-08-28,VIEW,Admin,PII,Violation
273,2023-06-15,MODEL_RUN,System,PII,OK
274,2025-02-26,MODEL_RUN,System,PII,OK
275,2025-12-25,MODEL_RUN,Admin,Financial,OK
276,2022-02-11,MODEL_RUN,Admin,PII,OK
277,2022-02-19,UPDATE,System,Financial,OK
278,2021-01-14,UPDATE,Analyst,PII,OK
279,2022-09-10,DATA_MASK,Analyst,Financial,OK
280,2022-10-09,DATA_MASK,Analyst,Financial,OK
281,2025-06-19,DATA_MASK,System,Financial,Violation
282,2025-03-30,MODEL_RUN,Analyst,PII,OK
283,2022-06-29,DATA_MASK,Analyst,PII,OK
284,2022-08-26,UPDATE,Analyst,PII,OK
285,2024-09-18,DATA_MASK,Admin,Financial,OK
286,2024-06-04,MODEL_RUN,Admin,Financial,OK
287,2023-12-15,MODEL_RUN,Admin,PII,OK
288,2025-06-01,DATA_MASK,System,PII,OK
289,2025-02-09,VIEW,Analyst,Financial,OK
290,2023-08-07,MODEL_RUN,Analyst,Financial,OK
291,2022-01-22,VIEW,System,Financial,OK
292,2022-09-12,DATA_MASK,Analyst,PII,OK
293,2023-01-25,VIEW,Admin,PII,OK
294,2025-08-10,VIEW,Analyst,Financial,OK
295,2021-03-10,UPDATE,System,Financial,Violation
296,2024-09-05,VIEW,Analyst,Financial,OK
297,2023-05-17,UPDATE,Analyst,PII,OK
298,2021-07-09,UPDATE,System,Financial,OK
299,2022-11-28,UPDATE,Admin,PII,OK
300,2025-08-18,DATA_MASK,Admin,PII,OK
301,2021-02-10,VIEW,System,PII,OK
302,2022-10-21,UPDATE,Admin,PII,Violation
303,2023-10-28,DATA_MASK,Admin,PII,OK
304,2023-03-19,VIEW,Admin,PII,OK
305,2025-01-06,DATA_MASK,Admin,PII,OK
306,2024-07-08,DATA_MASK,Admin,PII,OK
307,2024-07-17,VIEW,Analyst,PII,OK
308,2022-06-04,DATA_MASK,Analyst,Financial,OK
309,2021-02-21,DATA_MASK,Admin,Financial,OK
310,2022-05-28,UPDATE,Analyst,PII,Violation
311,2022-11-18,MODEL_RUN,System,Financial,OK
312,2024-03-31,VIEW,Analyst,Financial,OK
313,2025-12-18,MODEL_RUN,System,Financial,OK
314,2023-05-15,VIEW,Analyst,Financial,OK
315,2021-06-20,MODEL_RUN,System,PII,OK
316,2025-03-07,DATA_MASK,System,PII,OK
317,2024-07-15,VIEW,Admin,Financial,OK
318,2025-08-31,MODEL_RUN,System,Financial,OK
319,2025-07-17,MODEL_RUN,Admin,PII,OK
320,2023-07-15,UPDATE,Admin,Financial,OK
321,2021-03-15,MODEL_RUN,Admin,PII,OK
322,2025-07-02,DATA_MASK,Analyst,PII,OK
323,2022-04-08,UPDATE,Analyst,Financial,OK
324,2024-11-28,MODEL_RUN,System,PII,OK
325,2023-10-03,UPDATE,System,Financial,OK
326,2025-12-30,UPDATE,Admin,PII,Violation
327,2025-03-25,DATA_MASK,Analyst,PII,OK
328,2021-11-13,UPDATE,Analyst,PII,OK
329,2022-01-18,VIEW,System,Financial,OK
330,2023-05-13,VIEW,Admin,Financial,OK
331,2021-03-08,DATA_MASK,System,Financial,OK
332,2023-03-01,VIEW,Analyst,PII,OK
333,2025-12-04,UPDATE,Analyst,Financial,Violation
334,2021-11-02,DATA_MASK,Analyst,PII,OK
335,2024-04-01,DATA_MASK,Admin,Financial,OK
336,2021-02-27,MODEL_RUN,System,Financial,OK
337,2024-05-29,VIEW,Admin,PII,OK
338,2021-07-15,MODEL_RUN,Admin,PII,Violation
339,2023-07-10,VIEW,Analyst,PII,Violation
340,2024-06-12,UPDATE,System,Financial,Violation
341,2023-11-28,UPDATE,Analyst,PII,OK
342,2025-01-06,MODEL_RUN,Analyst,Financial,OK
343,2025-10-29,DATA_MASK,Analyst,PII,OK
344,2023-09-13,VIEW,Admin,PII,OK
345,2021-11-27,MODEL_RUN,System,PII,OK
346,2024-08-15,MODEL_RUN,Analyst,Financial,Violation
347,2025-07-07,DATA_MASK,Admin,PII,OK
348,2021-07-16,MODEL_RUN,Analyst,PII,OK
349,2024-01-21,MODEL_RUN,Admin,Financial,OK
350,2021-05-27,MODEL_RUN,Admin,PII,OK
351,2021-08-04,UPDATE,System,PII,OK
352,2024-01-14,UPDATE,Analyst,PII,OK
353,2024-09-23,MODEL_RUN,Admin,PII,Violation
354,2025-08-17,MODEL_RUN,System,Financial,OK
355,2023-10-10,UPDATE,System,PII,OK
356,2023-12-25,VIEW,System,PII,OK
357,2022-06-26,DATA_MASK,Analyst,Financial,OK
358,2025-03-06,UPDATE,Admin,PII,OK
359,2025-02-22,UPDATE,Analyst,PII,OK
360,2022-12-03,VIEW,Admin,Financial,Violation
361,2022-12-20,MODEL_RUN,Admin,PII,OK
362,2025-06-08,UPDATE,Analyst,Financial,OK
363,2025-07-10,DATA_MASK,Admin,Financial,OK
364,2025-12-20,DATA_MASK,System,Financial,OK
365,2025-03-29,VIEW,System,PII,OK
366,2023-01-18,DATA_MASK,System,PII,Violation
367,2022-01-14,VIEW,Analyst,PII,OK
368,2021-02-16,VIEW,System,Financial,OK
369,2021-07-16,MODEL_RUN,Analyst,PII,OK
370,2024-03-12,DATA_MASK,System,PII,OK
371,2022-10-23,DATA_MASK,Admin,PII,OK
372,2024-02-14,DATA_MASK,Analyst,Financial,OK
373,2022-08-12,VIEW,Admin,PII,OK
374,2023-01-19,DATA_MASK,Admin,PII,OK
375,2025-06-07,MODEL_RUN,Admin,Financial,OK
376,2022-03-23,DATA_MASK,System,Financial,OK
377,2023-12-04,DATA_MASK,Analyst,Financial,OK
378,2021-08-04,MODEL_RUN,System,PII,OK
379,2024-12-22,UPDATE,Admin,Financial,OK
380,2025-08-17,VIEW,Analyst,Financial,OK
381,2023-05-19,VIEW,Analyst,Financial,OK
382,2022-10-23,VIEW,Admin,PII,OK
383,2023-01-29,UPDATE,System,Financial,OK
384,2025-01-10,VIEW,Admin,PII,OK
385,2024-10-22,UPDATE,Admin,PII,OK
386,2023-05-21,MODEL_RUN,Analyst,PII,OK
387,2023-04-27,MODEL_RUN,System,PII,OK
388,2021-05-14,VIEW,Admin,PII,OK
389,2025-02-25,DATA_MASK,Analyst,Financial,Violation
390,2022-02-17,MODEL_RUN,Analyst,Financial,OK
391,2024-03-10,DATA_MASK,System,Financial,OK
392,2021-10-31,MODEL_RUN,Admin,Financial,OK
393,2023-02-04,UPDATE,System,PII,Violation
394,2021-10-18,MODEL_RUN,Admin,PII,OK
395,2025-07-18,UPDATE,Analyst,PII,OK
396,2022-09-28,UPDATE,Analyst,Financial,OK
397,2025-02-03,VIEW,Analyst,PII,OK
398,2021-02-16,UPDATE,Admin,Financial,OK
399,2025-04-03,DATA_MASK,Admin,PII,OK
400,2024-12-25,VIEW,Analyst,PII,OK
401,2022-04-17,VIEW,System,Financial,OK
402,2023-11-12,VIEW,Analyst,PII,OK
403,2025-06-12,MODEL_RUN,System,PII,OK
404,2024-05-09,MODEL_RUN,Admin,PII,OK
405,2025-05-05,UPDATE,Analyst,Financial,OK
406,2025-10-11,VIEW,System,PII,OK
407,2023-04-13,VIEW,Analyst,PII,Violation
408,2025-06-23,UPDATE,System,Financial,OK
409,2021-08-17,UPDATE,Analyst,PII,OK
410,2025-07-28,MODEL_RUN,Admin,PII,OK
411,2024-06-08,DATA_MASK,System,Financial,OK
412,2021-06-03,DATA_MASK,Admin,PII,OK
413,2025-01-16,DATA_MASK,Admin,PII,OK
414,2021-02-03,MODEL_RUN,Analyst,PII,OK
415,2021-10-10,DATA_MASK,Analyst,PII,OK
416,2021-04-15,UPDATE,Admin,Financial,OK
417,2021-10-22,DATA_MASK,System,PII,OK
418,2024-08-24,UPDATE,Analyst,Financial,OK
419,2023-02-16,DATA_MASK,System,PII,OK
420,2024-03-08,MODEL_RUN,Admin,PII,OK
421,2024-06-06,VIEW,System,PII,OK
422,2024-02-09,DATA_MASK,Analyst,Financial,OK
423,2024-07-18,DATA_MASK,System,PII,OK
424,2022-02-05,UPDATE,System,PII,OK
425,2021-07-19,DATA_MASK,Analyst,PII,OK
426,2023-07-08,MODEL_RUN,System,PII,OK
427,2021-02-17,DATA_MASK,System,Financial,OK
428,2024-01-16,VIEW,System,Financial,Violation
429,2023-02-02,VIEW,Analyst,Financial,OK
430,2021-01-05,UPDATE,System,PII,OK
431,2024-09-08,MODEL_RUN,Admin,Financial,OK
432,2024-05-19,UPDATE,System,Financial,OK
433,2022-02-24,VIEW,System,Financial,OK
434,2023-09-06,MODEL_RUN,Admin,PII,OK
435,2021-07-03,MODEL_RUN,Admin,PII,OK
436,2025-06-13,MODEL_RUN,Analyst,Financial,OK
437,2023-10-22,UPDATE,Admin,Financial,OK
438,2021-03-14,VIEW,Analyst,PII,OK
439,2022-06-01,DATA_MASK,Analyst,Financial,OK
440,2025-08-20,VIEW,Analyst,Financial,OK
441,2021-12-13,VIEW,Analyst,Financial,Violation
442,2022-06-17,DATA_MASK,System,Financial,OK
443,2023-11-10,DATA_MASK,System,PII,OK
444,2025-04-16,VIEW,Admin,PII,OK
445,2022-09-04,DATA_MASK,Analyst,PII,OK
446,2023-12-07,VIEW,System,Financial,OK
447,2025-01-08,DATA_MASK,Analyst,PII,OK
448,2024-12-18,DATA_MASK,Analyst,Financial,OK
449,2021-02-02,UPDATE,Admin,Financial,OK
450,2022-08-23,MODEL_RUN,Analyst,Financial,OK
451,2024-10-25,DATA_MASK,Analyst,PII,OK
452,2024-12-19,VIEW,System,PII,OK
453,2021-10-05,UPDATE,System,Financial,OK
454,2025-02-02,VIEW,Admin,PII,OK
455,2022-11-18,MODEL_RUN,Analyst,Financial,Violation
456,2021-05-02,MODEL_RUN,Analyst,PII,Violation
457,2022-03-06,DATA_MASK,Admin,PII,OK
458,2021-03-28,DATA_MASK,Admin,Financial,Violation
459,2025-06-16,DATA_MASK,Analyst,Financial,OK
460,2023-10-23,VIEW,Analyst,PII,OK
461,2023-02-18,UPDATE,System,PII,OK
462,2025-10-07,MODEL_RUN,System,PII,OK
463,2022-05-04,UPDATE,System,PII,Violation
464,2021-03-30,DATA_MASK,Admin,Financial,OK
465,2021-04-09,VIEW,Admin,Financial,OK
466,2022-10-25,MODEL_RUN,Analyst,Financial,OK
467,2023-03-30,VIEW,Analyst,Financial,OK
468,2022-01-19,VIEW,Admin,Financial,OK
469,2023-10-01,VIEW,System,PII,OK
470,2025-12-15,MODEL_RUN,System,PII,OK
471,2023-06-10,DATA_MASK,Analyst,Financial,OK
472,2023-01-21,VIEW,Admin,PII,OK
473,2023-01-03,DATA_MASK,System,Financial,OK
474,2022-05-25,VIEW,Admin,PII,OK
475,2021-06-07,DATA_MASK,Admin,Financial,OK
476,2022-07-08,MODEL_RUN,Analyst,Financial,OK
477,2024-06-16,MODEL_RUN,Admin,Financial,OK
478,2025-02-28,DATA_MASK,Admin,Financial,OK
479,2024-11-23,DATA_MASK,Admin,Financial,OK
480,2025-01-12,UPDATE,Admin,PII,Violation
481,2023-10-15,MODEL_RUN,Admin,PII,OK
482,2025-11-08,MODEL_RUN,Analyst,Financial,OK
483,2023-03-22,DATA_MASK,System,PII,OK
484,2024-03-15,UPDATE,Admin,PII,OK
485,2021-06-23,VIEW,Admin,Financial,OK
486,2025-02-19,MODEL_RUN,Admin,PII,Violation
487,2023-06-01,DATA_MASK,System,Financial,OK
488,2024-01-06,VIEW,Analyst,Financial,OK
489,2021-02-01,DATA_MASK,Admin,PII,OK
490,2025-03-25,UPDATE,Admin,Financial,OK
491,2021-01-22,UPDATE,Analyst,PII,OK
492,2021-02-26,UPDATE,Analyst,PII,OK
493,2025-05-19,UPDATE,System,Financial,Violation
494,2024-03-31,MODEL_RUN,Analyst,Financial,OK
495,2021-07-08,UPDATE,Admin,PII,Violation
496,2025-05-05,DATA_MASK,System,PII,OK
497,2023-12-12,DATA_MASK,Analyst,Financial,OK
498,2025-01-29,VIEW,System,PII,Violation
499,2021-11-01,VIEW,Admin,Financial,OK
500,2021-11-14,DATA_MASK,Analyst,PII,OK
501,2022-09-16,MODEL_RUN,System,Financial,OK
502,2022-07-01,VIEW,System,PII,OK
503,2022-03-17,MODEL_RUN,Analyst,Financial,OK
504,2023-06-03,VIEW,System,PII,Violation
505,2023-06-03,VIEW,Admin,PII,OK
506,2024-02-27,MODEL_RUN,Admin,PII,Violation
507,2024-03-21,UPDATE,Analyst,PII,OK
508,2021-10-13,VIEW,System,PII,OK
509,2023-11-27,MODEL_RUN,Analyst,Financial,OK
510,2025-09-10,UPDATE,System,PII,Violation
511,2025-08-22,MODEL_RUN,System,Financial,OK
512,2024-07-04,VIEW,Analyst,Financial,OK
513,2024-07-12,VIEW,System,Financial,OK
514,2025-01-23,MODEL_RUN,Analyst,PII,OK
515,2021-09-10,UPDATE,System,PII,OK
516,2024-02-01,VIEW,Analyst,Financial,OK
517,2021-12-27,DATA_MASK,Analyst,PII,OK
518,2023-02-12,MODEL_RUN,Analyst,Financial,OK
519,2022-02-11,UPDATE,Admin,PII,OK
520,2024-06-24,VIEW,System,PII,OK
521,2024-02-07,MODEL_RUN,Admin,Financial,OK
522,2021-03-30,VIEW,Admin,Financial,OK
523,2022-09-13,VIEW,System,PII,Violation
524,2025-07-01,DATA_MASK,System,Financial,OK
525,2021-11-24,VIEW,System,PII,OK
526,2023-09-22,MODEL_RUN,System,PII,OK
527,2022-11-28,MODEL_RUN,System,PII,OK
528,2022-03-31,UPDATE,System,Financial,OK
